stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.95,261.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0
  5-6,25.93,316.43,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.89,8.9,0,0,24.63,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.5,26.71,0,76,0,5.98,23.2,0,0,0,0,0,150.16,0,0,0,0,0,0,0,0,0,0,0,460.61,13.42,0,0,143.43,0,3.29,3.79,0,0,0,0,0,0,0,0,0
 10-12,0,19.6,0,73.68,0,10.88,23.8,0,0,0,0,0,30.29,0,0,0,0,0,0,0,0,0,0,0,1263.18,12.15,0,0,312.28,0,0,9.99,0,80.03,0,40.33,0,0,0,0,0
 14-21,0,0,0.82,0.91,374.29,8.12,67.49,0,0,0,1.22,0.85,1.79,1.1,0,3.66,0,0,0,21.01,92.94,0,0,68.25,319.04,12.99,0,13.55,6.72,0,16.38,0.91,81.45,6.48,189.43,307.18,49.31,0,6.63,0,14.15
 24-34,0,0,0,1.89,25.42,0,249.84,2.85,3.23,2.05,10.55,0,0,11.3,21.42,3.52,2.72,0.68,0,60.84,181.81,0,0.81,65.2,327.23,21.52,0.75,35.98,1,0,19.12,0,3.14,8.65,28.27,56.42,38.99,0,42.75,0,23.44
 36-46,0,0,0,0,7.06,0.81,140.85,21.89,1.81,3.39,22.26,0.74,0,3.96,103.16,4.77,8.04,0,0,56.16,118.3,0,2.81,46.54,133.79,16.98,0,16.03,0,0.77,28.86,1.38,0,3.56,33.36,0,17.86,1.25,54.64,0,9.28
 48-58,1.73,0,0,0,7.8,0,140.24,23.06,0.8,5.41,14.22,0,0.75,0.44,101.31,3.72,8.3,0.51,1.26,15.8,122.18,6.26,5.17,39.04,79.96,13.37,0,10.01,0,0,7.54,0.56,0,0,35.66,0,16.34,0,38.15,0,26.65
 60-70,0,0,0,0,4.1,0,81.79,29.84,2.35,2.24,29.63,0,0,2.02,176.36,8.4,13.16,0,0,36.02,86.31,0,4.86,31.12,53.64,1.44,0,17.4,5.14,0,2.32,0,0,3.75,35.32,0,7.4,0.73,43.92,0,26.53
 72-82,0,0,0,0,2.01,0.87,68.13,20.28,0.68,8.76,57.34,0.67,0,0.89,174.81,11.03,13.06,0,0,12.09,96.83,0,5.58,17.99,55.36,2.77,0,17.88,0,0,2.69,0,0,1.53,25.57,0,5.33,1.04,24.61,0,52.77
 84-94,0,0,0,0,4.27,11.61,141.6,27.76,2.06,4.73,37.53,1.88,0,0,182.36,9.15,22.3,0,0,6.03,51.05,0.65,12.14,11.42,37.44,0,0,18.8,0,1.68,6.51,0,0,8.53,43.74,0,0,0.84,20.4,0,78.12
 96-106,0,0,0,0,7.68,10,111.81,43.58,0.63,2.68,61.16,0,0,4.15,263.97,15.66,17.29,1.03,3.14,5.8,43.14,2.72,2.13,13.97,54.11,2.77,1.68,17.52,0,0,12.64,0,0,2.23,45.26,0,0.66,0,16.95,0,50.41
108-118,0,0,0,0,8.28,2.6,146.42,40.35,1.09,1.88,55.81,0.8,0,0,212.33,29.72,37.3,0,3.86,21.21,44.5,0,1.63,13.37,46.8,2.78,0.52,32.62,0,0,3.77,0,0,2.6,42.11,0,0,0,11.09,0.97,54.6
120,0,0,0,4.41,9.01,0,66.93,37.79,0,4.16,25.91,1.13,0,0,291.16,10.43,6.99,0,0,4.62,40.81,0,0,9.23,26.28,0,0,13.86,0,0,0,0,0,0,31.09,0,0,10.44,0,1.8,4.96
