stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,9.23,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.96,0,0,7.9,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.68,0,0,8.23,0,0,0,0,0,0,0
 14-21,0,0,1.09,27.32,0.91,0,0,0,0,0,0,0,2.2,0,0,0,1.38,1.09,0,0,2.95,0.82,0,0,0,0,0
 24-34,0,0,0,7.67,0,0,0.7,0,0,0,0,0,0.65,0,0,0.64,0.71,0,0.73,0,0.67,0,0,2.72,0,0,0
 36-46,0,0,0,14.17,0,1.18,0.56,1.25,0,0,0,0,3.79,0,0,0.59,4.96,0,0,0,7.33,0,0,1.45,0,0,0
 48-58,0,0,0,13.74,0,0,0.4,3.51,0,0,0,0,3.51,1.46,0,0,22.25,0.92,0,0,0.98,0,0,1.42,0,0,0
 60-70,0,0,0,12.76,0,2.79,5.6,1.21,0.62,0,0,0.82,15.45,0,0,1.53,24.69,1.22,0,0,0.64,0,0,4.69,0,0,0
 72-82,0,0,0,10.85,0,2.73,0,1.24,0,0,0,0.72,36.84,0,0,0,33.35,0,0,0,0.57,0,0,0,0,0,0
 84-94,0,0,0,7.79,0,0,1.79,7.29,4.47,1.34,1.15,0,12.76,0,0,3.55,32.05,0,0,0,2.53,0,0,2.36,0,0,5.99
 96-106,0,0,0,5.41,0,1.06,5.45,1.71,0,0,2.75,0.64,35.07,0,0,0,21.33,0.89,2.1,0,3.43,0,0,0,5.45,0,0
108-118,0,0,0,13.38,0,1.26,2.92,3.55,0,0.85,0.71,0.81,43.93,0,1,0,10.33,0,1.35,0,3.63,0,0.62,0,0,0,0
120,0,0,0,28.05,0,3.47,0,0,0,0,0,0,27.01,0,0,0,25.25,0,0,0,7.51,0,0,0,0,8.54,0
