stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,9.36,86.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.98,0,0,0,0,0,0,0,0,0,0
  7-9,8.7,16.85,0,0,0,0,41.07,0,0,0,10.93,0,0,0,0,54.58,8.91,0,37.7,0,0,0,0,0,0,0,0
 10-12,0,6.4,9.32,0,0,0,21.13,0,0,0,6.62,0,0,0,0,144.75,6.37,0,84.58,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.5,2.72,0,1.21,0,0,0,0,0,0,2.95,1.04,24.9,0,0,1.69,0,1.54,1.68,0,3.2,2.31,0,0
 24-34,0,0,1.43,2.2,0.92,0,8.75,0,1.04,0,0,0,0,14.39,4.08,61.65,0,2.12,0,0.65,0,0,4.81,3.52,18.15,3.42,0
 36-46,0,0,0,0.91,0,0,2.35,0,0.73,0,0,0.86,2.66,5.35,1.25,27.63,0,0,0,1.64,0,0,0,0,3.42,0,1.74
 48-58,0,0,0,0.53,0,0,0.71,0,0,0,0,3.15,1.49,3,1.27,9.52,0,0.64,0,0.47,0,0,0,0,0.47,0,4.74
 60-70,0,0,0,0,0,0,0.57,6.36,0,0,0,0,0,3.67,0,13.75,0,0,0,0,0,0,0,0,2.79,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,0.56,1.35,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.91,0,1.65,0.9,0,0,0,0,0.69,1.29,0,0,0,0,0,0,0,0,0,0.74,0
 96-106,0,0,0,1.07,0,0.6,0,0,0.91,2.83,0,0,0,2.67,1.02,4.83,0,1.1,0,1.56,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.64,0,2.24,0,0,0,0,0,3.58,0.44,5.09,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.68,0,0,0,0,0,0,0,2.06,0,23.37,0,0,0,0,0,0,0,0,0,0,0
