stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0,2.69,0,0,0,0,1.9,0,0,0,0,0,0,0,41.1,0,0,0,0.89,2.79,10.39,0.89,0
 24-34,0.96,0,0,6.16,0,0,3.88,0,0,0.74,0,0,0,0,263.08,0,0.6,1.43,0,0,56.43,0.64,0
 36-46,0,0,0,43.91,1.12,0,10.86,0,0,0,0,1.69,0,0,736.62,0,2.95,0,0.58,0,114.78,0,2.27
 48-58,0,0,0,144.72,0,0,21.06,0,0.55,0,3.73,4.56,0,0.92,762.84,0,1.04,3.51,0,0,143.55,1.42,4.14
 60-70,0,1.32,0,179.3,0,0,13.9,0,0,0,0,1.3,0,0,543.67,1,1.19,0,0.82,0,62.28,2.18,0
 72-82,1.15,0,0,154.67,3.67,0,9.28,4.83,0.58,0,0,5.52,0,0,403.14,0,2.13,0.76,1.26,0,22.6,10,0
 84-94,0,2.43,0,88.43,0,0,10.52,0.76,0,0,0,3.36,2.23,0,336.64,0,4.82,2.11,2.18,0,40.64,0,0
 96-106,0,1.07,0,77.31,0,0,23.95,0,0,0,0,2.77,1.14,0,190.26,0,5.16,0,13.37,0,0.68,2.55,0
108-118,0,2.47,0,66.62,0,0,11.67,1.32,0,0,0,3.48,0,0,190.85,0,9.27,0.92,0,0.85,8.47,3.49,0
120,0,8.31,2.35,71.76,0,1.92,2.83,3.14,0,0,0,0,0,0,238.01,3.42,0,0,0,0,0,9.06,3.17
