stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0.94,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0.9,0.94,0.82,0,0,0,0,0.93,0,0,1.97,1.55,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.24,0,0,0.94,0,0,0,0,14.61,0,14.19,0,0,8.68,5.15,0.87,0,0,0,0.72,0,18.04,0,0,11.15,0,0,10.35,0,0
 36-46,0,7.34,0,0,1.16,0,0,1.26,0,0,0.57,0,3.82,0,0,5.04,0,16.45,0,0,4.6,4.51,1.49,0,0,0,0.7,0,30.32,0,0,2.48,0,0,12.79,0,0
 48-58,0,3.68,0,0,5.95,0,0,3.37,0,0,0,3.06,0,0,0,2.21,0,29.93,0,0.6,2.75,2.33,5.41,0,0,0,0,0,12.6,0,0,1.98,0,0,7.5,0,0
 60-70,0,5.95,10.02,0,5.42,2.24,1.62,30.94,0,2.38,0,1.88,0,0,0,8.95,1.24,45.16,1.91,0,8.57,6.55,6.68,0,0,0,16.31,0,29.3,0,0,2.98,0,0.82,15.89,0,0
 72-82,0,4.22,0.71,0,33.94,3.28,17.8,68.81,1.53,0,1.98,8.65,0.52,0,1.05,12.78,0,231.99,0.77,5.95,14.43,13.38,5.67,0,0,0,12.78,0,91.24,0,0,11.19,4.34,4.04,56.57,6.93,0
 84-94,0,2.9,0,0,8.4,0.56,0.84,34.39,1.29,0,0,10.91,0,0,0,2.58,0,86.36,0,0.78,6.69,7.08,3.3,0,0.7,0,6.79,0,46.54,0,0,1.62,0,0,32.7,0,0
 96-106,0.63,12.2,7.5,0,16.49,2.73,9.54,29.72,6.06,0,0,4.1,2.22,0,0.57,6.1,0,136.05,2.89,1.42,10.83,31,0.62,0.79,4.05,3.35,20.46,0,69.77,0,0,9.67,0,6.37,27.07,7.55,10.54
108-118,0,22.68,0,0.47,10.96,6.18,15.49,87.74,13.07,0,0,14.81,2.59,2.33,0,6.11,0,192.78,0,5.81,12.73,29.5,5.41,0,4.8,8.55,20.1,0,152.03,0.41,0,1.59,2.54,2.18,82.36,3.11,3.13
120,0,38.68,1.64,0,35.89,6.57,50.55,131.01,19.33,0,6.27,37.97,1.06,0,0,17.09,0,239.13,0,1.26,17.5,28.64,31.74,0,0,11,55.6,0,153.31,0,0,0,0,2.35,62.27,3.95,0
