stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,47.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.31,3.47,0,0,0,0,0,0
 14-21,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0.99,6.07,0,0,0,0.99,5.59,0,0
 24-34,0,0,0.81,9.63,0,1.24,2.87,1.35,0,0,0,2.99,0,5.81,21.59,0,0,0.83,0,6.48,0,1.08
 36-46,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0.96,56.42,0,0,2.18,0,3.63,0,0
 48-58,0,0,0,28.04,8.18,0.4,9.66,0,0,0,1,1.81,0.45,0,38.6,0,0,0,0,6.07,0,0
 60-70,0,0,0.75,10.66,0,0,3.8,0,0,0,0,4.21,0,0.63,33.76,0,1.19,0,0,8.48,0,0
 72-82,0,0,0,12.06,0,0,1.32,0,0,0,0,8.58,0,2.41,19.68,0,0,0,0,1.56,0.9,0.85
 84-94,0,0,0,0,0,0,0,0,0.68,6.92,0,4.04,0,0,14.44,0,0,0,0,0,0,0
 96-106,0,0,0,6.49,0,0,1.63,0,0,0,0,1.32,0,0,4.54,0,0,0,0,0,0,0
108-118,0,0,0,5.21,0,0,1.01,0,0,0,0,2.61,0,0.56,2.86,0,0,0,0,0,0,0
120,0,0,2.13,0,0,0,22.26,0,0,0,0,5.85,0,0,67.07,0,0,0,0,0,0,0
