stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,20.36,646.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.28,0,0,0,0,0,0,0,0,0,0
  5-6,12.43,550.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.49,0,0,0,0,0,0,0,0,0,0
  7-9,10.45,56.1,19.45,0,0,136.43,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,807.99,8.11,0,0,190.54,0,11.94,5.15,0,0,0,0,0,0,0,0,0
 10-12,0,26.5,41.02,0,4.89,32.34,0,0,0,0,0,10.64,0,0,0,0,0,0,0,0,0,1016.7,41.28,0,0,191.49,0,34.8,0,10.74,56.42,0,0,0,0,0,0,0
 14-21,0,0,3.2,403.44,0.97,3.41,0,0,0,0,3.2,0,0,0,1.2,0,0,4.72,1.86,0,7.5,15.06,0,0,0,0,0,89.19,0,5.29,0,10.36,5.83,0,0,0,0,0
 24-34,0,0,0,43.4,0,0.63,0,0,0,0,0,0,1.02,0,0,0,0,11.87,0,0,6.77,18.22,0,1.18,0,0,0.99,23.17,0,0,0,0,2.23,0,0,0,0,0
 36-46,0,0,0,24.91,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0.56,0.57,0.74,12.62,0,1.55,0.56,0,0,26.97,0,0,0,0,0.98,0,0,0,0,0
 48-58,0,0,0,23.89,0,1.36,0,9.3,0,0.88,4.17,0.75,0.44,0,0,0,0,29.69,0.5,2.19,1.56,12.47,0,0,0.44,0,0,4.82,0,0,0,0,0.55,0,0,3.61,0,3.73
 60-70,0,0,0,39.88,0,15.31,0,0.6,0,0,0,0,0.58,0,0,0.77,0,115.45,1.69,6.11,0,22.53,0,0,0,0,0,1.86,0,0,0,0,0.83,1.21,0.98,0,0,0
 72-82,0,0,0,21.24,0,6.11,0.9,0.55,0,1.6,0.59,0,0,0.61,0,0,0,293.72,0,0.55,0.8,18.75,0,0.58,0,0,7.04,3.93,0,0,0,0,0,0,1.86,0,3.01,0
 84-94,0,0,0,35.36,0,11.33,0,3.82,1.45,0.96,3.03,0,0,0,3.1,1.91,0,149.62,0,0.63,0,12.56,0,0,0.79,0,0,7.74,0,0,0,0,1.7,4.7,0,0,0.89,0
 96-106,0,0,0,49.2,0,3.5,0,0.59,0,0,4.47,0,0,1.4,2.88,0,1.8,139.23,0,0.75,0,6.92,0,2.15,0,0,0,14.93,0,0,0,0,1.39,1.93,0.69,0,0.8,0
108-118,0,0,0,50.95,0.5,4.37,0,5.25,0,1.12,4.61,0,0,0,1.34,0.44,0,91.71,1.33,0,0.82,9.62,0,4.94,0,0,0,9.91,0,0,0,0,0,2.45,1.16,0,2.47,0
120,0,0,0,37.38,0,10.09,0,0,0,0,10.86,0,0,0,1.67,0,0,103.53,5.96,0,0,31.61,0,0,0,0,0,3.38,0,0,0,0,0,1.37,6.76,0,0,0
