stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,25.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.29,0,0,0,20.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.33,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,435.25,9.21,7.85,0,82.64,0,0,3.15,4.04,0,1.72,0,0,0,31.65,0,0,5.86,7.15,0,0,0,0,0,6.57,0.97,0,0.94,1.62,0,0,0,0
 24-34,0,0,158.91,3.09,0,0,145.08,0.74,0,0,0,3.44,0,0,0,0,51.95,0,0.91,18.9,47.65,0,0,23.27,0,0,0,0,0,0.61,6.5,0,0,2.29,0
 36-46,0,0,83,0,5.24,0,41.27,1.45,1.28,0,0,0,0,0,0,0,107.81,1.75,0,4.14,98.31,4.19,0,10.57,0,0,0,0,8.95,0,3.68,0,0,22.55,0
 48-58,0,0.4,48.53,0,0,0,30.49,2.21,7.15,0,0.48,0.37,0,0,0,0,110.3,0,0,4.88,207.6,0,0,10.38,0,0,0.45,0,0,0,3.07,0,0,26.53,0
 60-70,0,0,22.97,0,4.33,0,28.51,0.84,28.9,0,0,1.7,0,0.89,0.89,0,186.38,0,1.04,0,302.62,0,0,2.94,0,0,0,0,0,0,3.64,0.61,0,0,1.06
 72-82,0,0,5.75,0,35.38,1.52,7.46,1.67,125.24,1.43,0,0,0.56,0,0.56,10.58,317.47,0,0.76,1.56,352.88,0,0,8.78,0,0,0,0,0,0,1.29,0,1.84,0,3.34
 84-94,0,0,10.15,0,33.43,0,18.61,0,87.87,0,0,0,1.95,1.06,0,0.59,328.8,0,7.13,3.28,370.17,0,0,3.92,0,0,0,0,0,0,0,0,0,0,3.39
 96-106,0,0,24.85,0,26.95,1.64,48.38,3.06,170.2,9.21,0,0,3.37,0.66,0,0.95,404.24,0,4.1,10.79,385.72,1.06,0.6,8.64,0,0,0,0,0,0,2.39,0,3.45,0,7.25
108-118,0,0,33.74,1.03,23.8,0,38.89,0.73,92.91,0,0,0,2.81,0.49,0,2.15,537.57,0,5.68,7.25,188.31,5.22,0,13.35,0,1.33,0.59,0,0,0,0,0,1.65,8.2,2.03
120,0,0,20.03,1.58,19.35,0,38.04,0,53.37,0,0,0,4.41,0,0,0,447.91,0,6.83,1.13,479.22,7.66,2.15,0,0,0,0,0,0,0,0,0,0,0,0
