stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature
 14-21,0,1.72,0.87,0,0,0,1.07,0,0,0,0,0,0,21.06,0,0,0,0,0,0
 24-34,0,0,10.21,0,0,0,0,1.13,0,0,0,0,0.75,29.55,0,0,0,0,0.69,0
 36-46,0,0,8.07,5.92,0,0,0,0,0,0.9,0,0,0,25.96,0,0,0,0,4.43,0.75
 48-58,0,0,11.2,0,0.42,1.6,0,0,0.48,0.95,0,0,0.49,24.11,0.56,0,0,0,8.72,2.67
 60-70,0,0,34.18,0,0,0,0,0,0,1.65,0,1.84,0,19.6,0,0,0,2.81,5.1,0
 72-82,0,0,22.6,0,0,5.67,0,0,0,0.99,0,4.69,0,16.97,0,0.89,0,0,2.17,6.72
 84-94,1.44,0,22.26,0,0,0,1.45,0,0,10.63,0,0,0,18.88,0,0,0,0,0,0.65
 96-106,0,0,13.35,0,0,1.06,0,0,0,8.32,1.83,0,2.26,0.59,0,0,0,4.5,0,0
108-118,1.93,0,14.63,0,0,3.36,0,0,0,6.07,0,0,0,4.63,1.21,0,1.6,0.48,0,3.04
120,0,0,11.34,0,0,8.51,0,0,0,28.7,0,0,0,3.7,0,0,0,0,0,0
