stage,blastomeres,endoderm,hatching_gland,neural,paraxial_mesoderm
  3-4,75,0,0,0,0
  5-6,49.08,0,0,0,0
  7-9,0,3.3,3.59,17.32,0
 10-12,0,0,0,8.49,5.15
