stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,35.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.52,4.05,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0
 14-21,0,0.83,0,0,0,0,0,0,0,0,3.16,0,1.61,0,1.01,0,0
 24-34,0,1.21,0,0,0,0,0,0,0,0,6.14,0,0.67,0,0,0,0
 36-46,0,0,0,2.71,0,0,0,0,0,0,0,0,0,0,1.8,0,0
 48-58,0,0,0,2.31,1.35,0,0,0,0,0,5.71,0,0,0,1.33,0,0
 60-70,0,0,0,88.63,0,0,0,0,0.63,0,3.28,0,0,0,0,0,0
 72-82,0,0,0.58,240.23,0.99,0,0,0,0,0.63,9.2,0,2.02,0,0,0,0
 84-94,0,0,0,273.61,2.73,0.64,0,0,0,0,0,0,0,0,0,0,0.64
 96-106,0,0,0,332.71,0,0,0,0,0,0,0,0,0,0,0,1.18,0
108-118,0,1.02,0,341.5,0.52,0,0.56,3.59,0,0,16.77,0,0,0,0,0,0
120,0,0,0,250.63,3.7,0,0,0,0,0,20.56,0,0,2.33,0,0,0
