stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.83,35.9,7.43,0,16.99,0,1,0,9.68,1.01,4.05,1.45,0,0,0,0,1.41,0,10.06,0,0,9.29,148.79,3.02,0,1.84,2.74,0,1.04,24.06,5.49,6.56,15.32,53.98,0,0,2.18,0,0
 24-34,0,1.78,5.5,0,0,28.54,0,1.21,0.76,8.48,1.91,0,0,0.71,0.78,0,0.65,12.81,1.29,29.18,0,1.21,7.78,384.55,1.43,3.77,3.4,0,0,21.34,0,1.57,0.6,1.86,88.34,0,0,3.43,0,0
 36-46,0.74,0,10.22,7.64,0,86.43,0,0,2.1,16.34,0,0,2.12,9.07,0,0,0,0,0,22.84,0,0.8,13.42,403.06,1.04,10.43,1.41,0,0,30.24,0,2.44,5.36,0,58.52,0,0,4.27,0,1.8
 48-58,0,0,9.84,0,0,146.12,1.43,0,1.29,26.65,3.17,0,0.77,0.42,0,0,0.53,2.1,0,41.93,0,0,4.17,423.28,7.38,3.54,0.37,0,0.46,17.59,0,0,0,0,75.26,0,0.61,3.98,0,6.52
 60-70,0,0,16.09,0,0,143.23,0,3.31,1.68,32.3,2.21,0,7.04,0,0,0,5.4,0,0.86,44.05,0,0,1.32,416.27,4.98,3.09,1.61,0,0.66,15.83,0,1.17,3.45,0,73.39,0,0,11.5,0,0
 72-82,0.56,0,8.75,7.99,0,200.15,0.82,0,1.59,32.79,0,0,1.72,0,0.53,0.75,0,0,0,57.25,0,1.57,2.99,394.17,0.89,2.52,9.23,0,0,7.44,0,0,0,0,30.39,0,3.11,5.38,2.07,4.42
 84-94,0,0,10.51,13.51,0,169.91,0,3.54,0,18,2.24,0,1.45,7.88,0,0,0,0,2.78,76.25,0,16.02,13.01,245.8,0.74,5.15,8.72,0,0,39.9,0,0,1.43,0,26.89,4.95,4.62,8.15,0.78,2.12
 96-106,0,0,15.88,25.97,1.06,174.21,0,2.05,0.99,30.41,1.5,0,0.73,8.89,2.38,0,1.91,0,0,43.51,2.15,2.7,4.44,159.72,0,4.38,3,0,0,23.59,0,1.21,0,0,13.3,0,0,13.52,1.6,0
108-118,0.57,0,6.39,8.95,0,110.3,0,1.52,1.29,41.89,6.18,0,2.49,4.77,2.29,0.86,0.49,0.67,0.59,76.62,0,0.72,9.8,375.12,0,7.28,3.16,0,8.95,22.21,0,0,0.6,0,4.08,7.03,1.66,2.91,0.66,1.04
120,0,0,12.72,19.56,0,167.69,0,0,19.42,61.08,4.12,0,2.27,9.48,1.72,3.33,0,20.01,0,87.74,0,0,5.5,575.53,0,14.86,0,0,0,17.23,0,2.39,0,0,18.07,4.19,0,27.73,2.97,0
