stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,80.69,1608.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.63,0,0,0,0,0,0,0,0
  5-6,7.99,540.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.64,0,0,0,0,3.86,0,0,0,0,0,0,0,0,0,17.51,4.08,0,0,4.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.39,11.54,0,0,4.92,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.04,10.75,0,0,2.04,0,0,0,1.09,0,0,0,6.08,0,0,0.99,0,0,0,18.48,0,0,0,0,0,25.62,2.11,0,0,0,0,0,0
 24-34,0,0,0.84,0,29.13,0,0,0.62,0,0,0,1.45,0,0,0,15.64,16.57,8,0,1.52,0,0,29.79,0.67,3.9,0,0,1.82,5.67,1.89,1.47,0,0,0,0,0
 36-46,0,0,0,0,44.75,0,0,0,1.95,0,4.55,0.61,0,0,0,9.59,21.55,13.14,1.27,4.52,0,0,226.77,2.1,8.96,0,0,5.16,5.64,0,0,0,0,5.35,0,0
 48-58,0,0,0,0,38.87,0,0,2.3,3.98,1.26,9.61,4.48,0.48,0,0,0.87,26.23,4.76,3.69,0,0,2.77,130.41,0.5,4.86,17.27,0,5.32,7.56,0,5.94,0,0,7.52,0,0
 60-70,0,0,0.62,0,32.58,0,0,10.87,3.89,0.62,9.15,7.24,3.82,0,0,0,31.89,0,6.87,0,0.93,0,81.47,0,1.17,12.19,0,8.29,0.76,0,5.42,2.58,0,4.61,0,0
 72-82,0,0,1.57,0,48.88,0,1.04,8.79,6.63,0,10.61,30.54,0,0,0,4.13,39.9,0,16.32,0.57,0,1.23,81.59,0,3.68,32.65,0,1.29,0.55,0,0,0,0,20.52,0,0
 84-94,0,0,0,1.83,130.84,8.55,0.6,2.92,23.37,0,9.67,116.17,0,4.19,1.05,2.02,84.56,5.97,4.47,0,0,1.89,109.68,0,15.26,32.07,0,10.57,0.58,0,0.63,4.62,2.26,26.88,0,0
 96-106,0,0,0,1.4,108.78,0,0.77,0,6.26,10.74,6.93,148.64,0,0,0.64,10.77,86.82,12.62,34.39,1.93,0,4.68,45.83,0,10.64,48.36,0,12.97,0,0,5.74,16.92,0,30.95,4.43,0.85
108-118,0,0,2.21,2.33,121.8,0.49,0,0,27.91,0,1.57,188.59,2.74,1.03,1.11,7.81,75.79,6.15,33.08,2.41,0,6.35,64.87,0,5.52,15.38,0,3.26,5.64,0,0.94,23.64,0,31.18,0,0.68
120,0,0,0,0,126.92,0,0,0,25.32,0,13.48,129.97,0,0,3.17,4.31,67.3,15.25,23.24,4.05,0,0,29.83,0,7.27,30.43,0,1.68,6.26,0,0,5.92,0,65.6,0,0
