stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,201.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.79,178.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.36,8.06,3.4,0,6.96,0,25.85,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,135.93,12.65,0,0,61.81,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.3,0,0,0,0,14.72,0,0,0,0,0,0,0,0,0,0,66.94,14.02,0,0,172.64,0,0,0,4.61,0,0,21.71,0,0,0,0
 14-21,0,0,1.04,1.37,0.91,0,0,0,0,0,0,0,1.15,0,1.86,0,0,0,7.26,0,0,17.51,18.96,0,0,0.97,2.41,0,0,1.12,23.79,0,63.91,220.07,8.42,0,0,0
 24-34,0,0,0,3.6,0,0,6.97,0,2.86,0.63,0,0,0,0,0,0,0,0,6.19,0,0,8.02,83.57,0,0,2.62,0,0,5.38,0,0,0,3.42,8.58,12.26,0,0.77,0
 36-46,0,0,0,17.22,0.57,0,10.91,15.79,1.39,0,1.04,0,0,0,0,0,0,0,21.67,0,0,14.07,74.27,0,3.13,0,0,0,5.74,0,0,0.7,8.98,0,7.8,0,5.69,0
 48-58,0,0,0,0,0,0,13.29,12.47,0.45,1.09,4.3,0,0.39,0,0,0,0,0,25.77,0,0,19.36,47.92,0,0,4.04,4.77,0,8.16,0,0,0,13.17,0,10.86,0,0,0
 60-70,0,0,0,1.42,0,0,37.94,7.16,1.18,0,2.8,0,0,0,0,0,0,0,49.56,0,0,12.54,49.61,0,0.99,4.91,0,0,6.81,0.64,0,0,13.61,0,11.16,0,0,0
 72-82,0,0,0,2.76,2.57,0,32.88,26.05,0,0.68,1.08,0,0,0,0,0,0,0.97,43.72,0.59,8.22,22.19,65.71,0.72,0.93,0,0,0,6.06,0,0,0,9.83,0,9.19,0,0,0
 84-94,0,0,0,0.66,6.9,0,19.91,27.04,0.81,0,6.76,0,0,0,0,0,0,0,32.2,0,0,18.34,64.97,0,0,0,0,0,10.67,0,0,0,8.86,0,0,0,4.91,0
 96-106,0,0,0,0.87,0,0,27.69,25.88,0.93,0,2.31,0,0,0.62,0,0,0.82,0,51.6,0,2.02,23.69,24.23,0,0,0.6,22.53,0,2.42,0,0,0,12.85,0,0.67,0,4.49,1.12
108-118,0,0,0,0,1.44,1.45,35.96,31.4,3.53,0,14.75,0,0.83,0,0,0.98,0,0,48.6,0.59,0,25.27,56.92,0.69,0,0.52,0,8,4.71,0,0,0,24.56,0,1.26,1.01,1.51,0
120,0,0,0,4.42,0,0,6.06,28.41,0,0,22.19,0,0,0,0,6.51,0,0,32.03,0,0,8.63,102.41,0,0,0,0,0,6.05,0,0,0,5.26,0,0,0,0,0
