stage,epidermis,eye,fin.mesenchyme,ionocyte,liver,mucous,neural,olfactory,pronephros
 10-12,0,0,0,0,0,0,5.95,0,0
 14-21,0,0,0,13.11,0,0,0,0,1.37
 24-34,0,0,0,23.17,0,0,6.74,0,8.37
 36-46,1.67,0,0,1.89,1.51,0.87,0,0,3.52
 48-58,0,0,0,1.97,0,0,0.51,0,2.06
 60-70,0,0.86,1.32,8.38,0,0,0,0,1.45
 72-82,0,0,0,3.79,0,0,0.75,0,2.65
 84-94,0,0,0,18.73,0,0,0,0,6.31
 96-106,0,0,0,7.31,0,0,0,0,1.36
108-118,0.44,1.18,0,8.82,0,0.49,0,0.75,4.28
120,0,0,0,13.69,0,0,0,0,8.43
