stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.54,2379.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.37,0,0,0,0,0,0,0,0,0,0
  5-6,75.34,1080.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,28.46,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.96,0,3.3,0,0,0,17.26,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,119.24,18.97,0,0,35.25,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.55,0,16.9,0,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.54,0,0,0,25.94,0,0,0,0,24.81,0,15.69,0,0,0,0,0
 14-21,0,0,0.8,2.17,6.66,18.26,0,2.81,0,0.87,0,15.3,0,0,0,0,0,0,0,0,0,5.99,0,1.06,155.3,9.78,0,1.02,0.8,0,0,0.91,1.89,1.11,0.82,103.23,0,0,5.86,0,0
 24-34,0,0,7.59,0,3.31,0,0,23.14,0,0.6,0,6.04,0,0,0.85,6.62,3.49,1.54,0,9.67,2.79,21.31,0,4.76,556.03,3.35,16.94,0.67,0,0,0,0,0,4.02,4.06,165.12,0,0,25.77,0,0
 36-46,8.46,0,0.95,0,2.66,0.76,0,70.73,0.59,0,1.51,19.91,0,0,1.65,6.9,0.61,3.68,0,0.87,11.47,39.18,0,2.11,1085.66,16.93,34.62,1.26,0,0,0,0,0,3.32,0,219.01,0,0,11.48,0,0
 48-58,0,0,0,0,1.95,0,0,160.35,0,0,3.38,37.02,0,0,1.4,12.6,0,3.93,1.56,0,9.01,40.93,0.4,4.85,887.69,0,20.53,1.73,0,0,0.46,0,0,1.65,0,186.82,0,0,10.04,0,6.67
 60-70,0,0,0.86,0,0,0,0,247.87,0.99,0,2.21,34.91,1.26,0,1.39,7.34,3.32,5.12,0,2.25,8.8,68.45,2.46,4.7,985.48,1.38,22.94,3.9,0,0,0,0,0,1.06,0,170.59,0,0.61,11.1,0.81,0
 72-82,0,0,5.88,0,5.3,16.29,0,227.3,0.95,0,1.74,39.28,2.75,0,1.62,18.97,1.89,2.96,0,0,0.98,71.55,1.75,2.61,824.74,0,45.7,3.39,0,0.72,0,0,0,0.64,0,109.76,0,0,9.25,2.14,11.48
 84-94,0,0,0.94,0,13.37,0,0,254.12,0,0,1.94,66.7,3.9,0.86,0.6,42.26,6.57,9.48,0.73,0.63,10.08,80,0.8,1.25,718.76,3.49,50.66,2.45,0,0,0,0,0,1.19,0,77.24,1.64,0,21.22,0.77,0
 96-106,0,0,1.22,0,5.48,3.22,0,262.89,0,0,4.86,28.77,5.95,0,0,43.33,2.62,7.19,0,3.44,5.18,65.43,2.42,2.77,537.56,0,44.91,2.51,0,0,0,0,0,4.47,0,27.38,4.52,3.07,32.46,1.1,0
108-118,0,0,2.3,0,7.98,0,0.65,193.26,0,1.12,2.41,55.99,4.98,0,0.69,51.16,6.66,18.3,2.28,5.37,16.16,48.22,0.46,0.5,570.83,0,23.85,4.52,0,0,0,0,0,8.08,0,36.47,0,0.57,17.15,0,2.17
120,0,0,0,0,9.52,1.14,1.03,176.44,0,0,0,46.61,1.68,0,2,66.83,11.36,2.23,0,1.45,7.56,37.11,0,0,680.1,0,39.34,1.8,0,0,4.02,0,0,2.7,0,46.91,12.7,0,22.44,0,0
