stage,erythrocytes,eye,glial,ionocyte,lateral.line,melanocytes,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,11.75,0,0,13.81,0,0,0,0
 14-21,0,0,12.7,0,0,0,0,7.43,0,0,0,1.08,5.02,27.31,0
 24-34,0,0,12.7,0,0,0,0,6.76,0,0,0,0,0,12.51,0
 36-46,0,0,6.95,0,0,0,0,10,0,16.51,0,0,2.47,21.33,0
 48-58,0,0,6.7,0,0,0,0,1.47,1.34,0,0,0,0.98,9.79,0
 60-70,0,0.63,14.35,0,0,0,0.62,0,0,0,0,0,0,6.96,0
 72-82,0,0,4.71,0,0.83,0.87,3.47,1.66,0,0,0,0,0,2.84,0
 84-94,0,0,6.34,0,0.9,0.56,0,7.47,0,0,0,0,0.7,2.53,0
 96-106,0,1.28,5.21,0.74,0,0,0,0,0,0,0,0,0,8.52,1.5
108-118,0.58,0,2.5,0,2.09,0,0,2.81,0.44,0,0,0,0,3.28,0
120,0,0,15.49,0,4.1,0,10.9,0,0,0,0,0,0,0,0
