stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,37.1,508.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.79,0,0,0,0,0,0
  5-6,56.01,1000.86,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92,0,0,0,0,20.38,0,0,0,0,0,0
  7-9,20.43,19.06,11.08,0,0,43.76,0,0,3.31,0,0,0,0,0,0,0,0,586.01,13.85,0,0,130.37,3.28,0,0,0,0,0,0
 10-12,0,3.69,3.73,0,0,63.51,0,0,5.92,0,0,0,0,0,0,0,0,321.35,0,0,0,59.62,0,6.05,0,24.33,0,0,0
 14-21,0,0,1.23,6.53,2.32,0.9,0,0,0,0,0,0,0,0,0.83,0,3.12,5.92,0,0,0.84,0.9,2.19,0,1.97,0,3.71,1.18,1.25
 24-34,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,1.21,0,0,0,0,1.89,2.57
 36-46,0,0,0,1.18,0,0.85,0,0,0,0,0,0,0,0,2.39,0,0,32.03,0,0.73,0,0,1.68,0,0,0,0,2.68,6.67
 48-58,0,0,0,0.38,0,4.07,0,1.15,0,0.69,0,0,0,0,0.95,1.23,0,7.15,0,0,0,0,2.19,0,0,0,0,0.45,3.38
 60-70,0,0,0,4.14,0,9.91,0.63,0,0,0,0,0.93,0,0,3.11,0,0,4.12,0,0,0,0,0,0,0,0,0,1.28,0
 72-82,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,3.01,0,0,0.51,0,0,0,0,0,0,0,4.96
 84-94,0,0,0,0,0,0.88,0,0.57,0,0,0,0,0,0,0,0,0.93,0.91,0,0,0,0,10.45,0,0,0,0,0,0.72
 96-106,0,0,0,0,0,0,0,1.04,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0
108-118,0,0,0,1.05,0,0,0,0,0,0,0.72,0,0,0.6,0.74,0,0.56,3.88,0,0,0,0,2.52,0,0,0,0,0,0
120,0,0,0,7.64,0,0,0,0,0,0,0,0,17.67,0,0,0,0,0,0,1.26,1.76,0,2.91,0,0,0,0,0,0
