stage,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.38,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.17,0,65.29,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,7.63,0,45.39,0,0,0,0,1.85,0,0
 48-58,0,1.65,0,0,0,0,0,10.05,0,31.02,0,0,0,0,0,1.7,0
 60-70,0.57,3.13,0,0,0,0.76,0,25.4,0.9,20.53,0.71,0,0,0,0,2.87,0
 72-82,1.16,31.33,0,1.92,0,0,0,93.05,0,30.39,0,0,0,0,0,2.21,0
 84-94,0,9.38,0,1.13,2.13,0,0,96.05,0,38.79,0,0,4.61,0,0,2.95,3.41
 96-106,0,28.26,0,1.04,0,0,0,107.84,0,21.38,0,0,0,0.71,4.08,0,0
108-118,0,6.19,0.96,0,0,0,0.67,63.28,0,17.56,0,0,0,0,0,2.44,0
120,0,13.21,0,0,0,0,0,55.16,0,15.93,0,0,0,0,0,0,0
