stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,82.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.18,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.53,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.96,0,0,0,3.83,0,69.73,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.76,0,0,25.17,0,0,0,0,0,24.43,0,0,0,0,0,0,0,0,0,0,159.91,5.47,0,0,19.97,0,22.51,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.97,0,1.17,0,0,0,1.6,0,0,0,4.87,0,0,0,0,1.12,0,0,0,11.59,0,0,0,0,0,100.82,1.23,1.78,0,0,10.09,0,0,0,0,0
 24-34,0,0,0.71,1,5.08,0,8.86,0,0,0,0,0,0,0,17.15,0,0,0,0,0,1.33,0,1.56,73.26,0,9.69,0.82,0,0,124.05,0,0.6,0,0.67,36.43,0,0,6.09,0,0
 36-46,0,0,0,0,0.87,0,2.33,0,0,0,6.77,0,0,0,10.3,0,1.33,0,2.15,0,4.05,0,0,163.18,0,1.75,0,0,0,114.09,0,0,0,0,50.48,0,0,0,0,0
 48-58,0,0,0,0,0.41,0,7.29,1.09,0,0,4.38,0,0,1.42,5.38,6.72,0,0,0.48,2.49,0.98,0.47,0,157.53,0,0.47,0,0,0,63.36,0,0,0,0,61.75,0,0,1.99,0,0.49
 60-70,0,0,0,0,7.17,0,5.04,0,0,0,5.96,0,0,0,0.59,0,2.98,0,0,1.37,5.32,0,0,176.32,0,1.73,0,0,0,55.17,0,0,0,0,33.63,0,0,0,0,0
 72-82,0,0,0,0,9.04,0,28.74,1.52,1.55,0.77,13.65,0,0,0,3.52,0,1.71,0,0,12.87,0.66,0,0,219.88,0,3,0.61,0,0,47.98,0,0,1.5,0,26.53,0.97,1.33,0,6.47,0
 84-94,0,0,0.66,0,22.54,2.35,23.48,0,1.02,0,8.53,1.52,0,0,7.04,0,0.84,0,3.29,2.81,3.58,0,0,126.63,0,0.78,1.57,0,0,132.27,0,0,0,0,8.08,1.67,0.69,2.96,2.62,0
 96-106,0,0,0,0,21.65,0,22.41,0,0.66,0,8.81,1.61,0,1.57,9.98,0,2.5,0.79,0,4.77,2.08,0.63,0,106.39,0,1.51,0,0,0.83,68.41,0,0,0,0,2.55,3.26,1.3,1.83,0,0
108-118,0,0,0,0,25.46,3.63,12.24,0,0.48,0,7.21,5.39,0,0,12.29,0,2.85,3.43,0,4.42,0.53,1.4,0.51,113.35,0,1.4,0.6,0,0,93.29,0,1.91,0.5,0,10.6,3.82,0,2.42,1.12,0
120,0,0,0,0,46.65,0,16.03,2.43,0,0,2.03,3,0,0,24.4,0,2.19,1.5,0,0,1.47,0,0,199.96,0,3.75,0,0,0,41.96,0,0,0,0,0,0,0,0,0,0
