stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.32,0,0,0,0,0,0,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,49.59,0,0,0,11.72,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.86,0,0,0,11.31,0,0,0,0,0,0,0,0
 14-21,0,0.96,1.03,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,11.29,0,0,0,0,0,0,0,0.88,3.67,0,0,0
 24-34,0,0.79,1.21,0,128.79,0,0,0,0,0,0,0,0,0,0.7,0,5.25,0,0,0,1.66,34.91,0,0,0,0,0.81,0,0.61,0,11.52,0,0.66,0
 36-46,0,0,0,0,124.67,0,0,0,2.43,1.33,0,0,0,0,0,1.29,6.52,2.05,0,0,0,25.57,1.8,0,0,0,1.52,0.81,0,0,5.53,0,0.62,11
 48-58,0,0,2.37,0,51.16,0,0,0,0.5,0,0,0,0,0,0,0.78,5.42,1.51,0,0,0,30.74,0,0,0,0,1.62,0,0.43,0,4.56,0,1.36,0
 60-70,0,0,0.61,0,387.77,0,0,0,5.81,0,0,0,0,0,0,0,14.14,3.62,0,0,0,19.01,0,0,1.49,0,4.42,0,14.65,0,1.61,0,0,2.2
 72-82,0,0,6.62,0,391.86,0,0,0,5.55,2.26,0,0,0,4.88,0,0,2.67,16.06,0.56,1.56,1.24,45.06,0,1.14,2.69,0,0,0,0,0,3.32,0.85,0.89,0
 84-94,0,0,1.77,1.24,380.33,0,0,0,2.06,0,0,0,0,1.39,0,1.13,4.32,2.3,0,0,0,23.48,0,3.43,0,0,0,0,0.91,0,0,0,0.92,0
 96-106,0,0,2.32,0,291.3,4.47,9.05,0,9.58,4.43,0,2.78,0,2.38,0,0,1.86,18.62,0,0,0,14.5,0,0.59,0.75,0,3.88,0,0,0,0,0,1.32,0
108-118,0,0,0.84,0,318.94,0,0,0.6,1.49,1.12,0,0,0,1.82,0,11.77,1.65,17.85,0,0,0,70.67,0,0,0,0,2.53,0,0.75,0,0,0,1.67,0.42
120,0,0,9.35,0,545.67,0,0,16.89,0,2.8,0,0,2.76,0,0,4.47,1.6,13.32,0,0,0,103.07,0,3.09,9.53,0,0,0,6.11,0,0,0,7.59,3.28
