stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,3.52,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,4.77,40.16,0,0,174.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,29.31,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.81,344.78,0,0,4139.25,0,0,14.08,5.84,0,282.3,0,0,0,0,0
 14-21,0,0,0.8,0,738.58,0,0,0,63.81,0,0.83,0,0.81,32.64,0,0,0,0,0,0,159.83,6.36,0,78.13,231.07,679.31,0,0,139.13,0,1.89,1639.15,0,67.31,2220.24,35.07,0,0,0,0
 24-34,0,0,0,0,756.78,0.6,1.88,0,449.74,0.83,0.86,0,0,219.11,0,0,0,0,0,0,337.98,3.09,0,46.91,93.25,60.35,2.63,1.16,0,0,0,0,0,1.33,65.03,16.71,0,0,5.32,0
 36-46,0,0,0,0,342.08,0,8.01,0,270.77,11.02,1.26,0,0,121.5,0,0,0,0,0,0,1028.33,1.75,15.36,42.16,41.48,26.2,4.56,61.58,0,0,0,0,0,1.28,3.24,35.27,0,0,0,0
 48-58,0,0,0,0,274.93,0,19.2,0.99,216.16,8.81,2.67,0,0,131.81,0,3.68,0,1.41,6.14,0,545.8,3.29,14.11,103.91,70.66,18.61,7.12,277.17,0,5.09,0,0,0,0,0.55,50.49,0,0,0.94,0
 60-70,0,0,0,2.21,239.26,0,5.74,0,150.2,24.74,5.51,1.44,0,83.88,4.69,67.51,0,0,0,0,776.72,1.08,23.75,79.77,55.68,20.92,3.65,286.39,0,11.76,0.62,0,0,0,0,23.01,0.73,2.68,0,2.34
 72-82,0,0,0,4.03,209.07,0,47.76,7.88,57.87,24.81,1.13,0.65,0,63.11,16.41,53.36,0,0,0,0,777.41,2.54,5.04,205.74,55.51,4.18,9.73,369.05,0,0,0,0,0,0,0,9.83,3.53,4.84,2.85,1.22
 84-94,0,0,0,3,489.33,0,28.53,1.61,170.33,4.58,0,3.83,0,35.03,2.83,119.3,1.23,0,0,0,832.91,4.04,0,128.31,37.15,0,11.41,462.12,0,9.74,2.67,0,0,0,0,25.21,17.04,12.63,0,3.05
 96-106,0,0,0.95,0,398.5,0,35.26,3.1,83.75,5.19,3.15,35.76,0,26.17,5.25,123.11,1.03,2.21,0.59,1.3,689.77,15.45,0,67.19,53.93,0,24.98,378.41,0,3.12,3.64,0,0,0,0,29.81,4.55,3.59,1.45,2.79
108-118,0.83,0,0,3.02,466.78,4.36,9.36,0,160.17,2.81,5.18,12.94,0,5.56,0,286.62,0,0,2.12,0,874.97,1.43,1.62,79.73,89.07,2.67,26.13,386.34,0,0,7.84,0,1.49,0,0,32.72,8.8,19.32,0,4.72
120,1.12,0,0,0,290.83,0,19.3,1.1,78.86,0,0,12.38,0,0,27.53,91.75,0,0,0,0,645.94,7.74,0,64.74,96.31,2.06,9.75,263.57,0,0,0,0,0,0,0,7.38,3.18,11.19,0,0
