stage,axial,blastomeres,epidermis,eye,glial,hatching.gland,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,192,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.92,177.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.21,0,3.24,0,0,24.78,7,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.65,6.99,0,0,0
 24-34,0,0,0.77,0,0,0,0,0.72,9.49,0,2.18,0,0
 36-46,0,0,0,0,11.35,0,0,0,13.56,0,0,0,3.88
 48-58,0,0,0,0.77,1.52,0,1.87,0,6.51,0,0,1.63,0
 60-70,0,0,0,3.2,2.72,0,2.73,0,11.45,0,2.33,0,9.06
 72-82,0,0,0,2.11,0,0,1.53,0,2.4,0,0,7.77,0
 84-94,0,0,0,2.72,0,0,0.89,0,0.79,0,0,0,0
 96-106,0,0,0,0.75,3.96,0,7.11,0,0,0,0,0,0
108-118,0,0,0,0,0.69,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,8.66,0,0,0,0,0,0
