stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.36,0.85,29.42,0,2.09,0,0,0,1.38,0,1.69,0,0,27.18,0,0,0,0,2.26,2.83,0,0.92,28.6,1.31,0,0.81,0,0,3.32,5.28,4.1,3.21,22.15,53.94,5.08,0,1.14,0,0
 24-34,0,1.43,2.54,1.25,21.78,0,10.46,5.45,5.18,0,1.05,0,0,0,1.67,206.74,0,1.4,0,0,7.73,21.48,0,4.03,83.54,5.32,0.85,1.96,0,0,3.28,0,0,28.21,12.43,22.79,12.75,0,5.02,0,0
 36-46,0,0,0,0,18.31,0,16.54,35.82,0,0.67,1.31,0,0,0,10.89,140.83,0.56,0,1.21,0,1.35,15.12,0,4.59,37.78,0,0,1.82,0,0,6.98,5.17,0,83.61,148.81,3.65,9.39,0,0,0,0
 48-58,0,0,0,2.1,28.81,0,23.01,41.38,0,0.46,5.01,0.58,0,0,0,31.59,0.77,1.22,5.76,6.21,3.14,0,0.77,2.31,63.94,0,0,0,0,0,0,0,0,47.61,147.25,0,10.65,0,2.71,0,0.6
 60-70,0,0.65,0,8.9,9.9,0,29.39,48.02,1.26,0,10.01,7.1,0,3.33,4.05,30.49,0,0,2.97,0,10.81,2.41,0,4.09,44.45,0,0,5.2,0,0,3.99,1.92,0,65.24,112.92,0,7.66,0,0,0,1.82
 72-82,0,0,0,2.68,36.51,7.61,39.09,31.2,2.55,1.44,37.11,1.23,0,5.02,0,41.92,0,0.55,10.15,0,32.09,0,0.49,0.78,73.85,0,0,2.26,0,0,8.66,0,0,132.99,101.8,0,4.91,0,8.49,0.53,5.62
 84-94,0,0,0,10.5,28.31,15.87,63.66,100.55,1.73,0,70.56,9.57,0,0.94,0.75,134.28,4.04,1.82,43.23,0,12.27,1.29,0,2.79,111.85,0,0,4.56,0,3.87,13.72,0,0,443.58,330.31,0,2.44,1.15,2.38,0,0
 96-106,0,1.53,0,18.49,100.43,10.36,105.87,116.4,0,3.65,122.16,11.68,0,21.7,8.21,137.45,6.11,2.08,48.69,0,50.35,7.15,0,13.42,190.1,0,3.02,9.79,0,0,19.2,5.68,0,395.62,288.88,0,6.44,1.26,8.4,2.76,0
108-118,0,0,1.47,14.68,69.56,15.48,93.17,206.1,1.59,0,138.48,21.43,0,23.58,3.66,174.25,3.46,2.32,67.79,0,27.69,5.2,1.29,32.94,129.53,2.3,5.66,5.62,0,4.59,9.58,3.11,0,479.39,379.99,0,11.3,1.98,3.37,0,20.9
120,0,0,0,22.73,79.09,4.29,54.08,102.92,1.1,0,114.28,11.35,0,7.85,6.4,100.09,5.05,0,28.34,0,37.71,2.25,0,32.06,201.43,0,5,21.67,0,0,36.87,4.6,1.12,356.19,100.4,0,2.04,11.26,0,0,0
