stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,86.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,83.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,27.37,0,0,0,16.11,0,0,0,0,0
 10-12,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,12.52,0,0,0,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,1.21,2.34,0.82,1.39,0
 24-34,0,0,0.63,0,0.81,1.02,0,0,0,0,0,1.37,0,0,6.19,0,0,0,0,0.81,0,0,1.76,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.54,0,0,26.61,0,0,0,0,0.7,0,0,10.29,0
 48-58,0,0,0.79,0,0.55,0,1.64,0,0.49,0,0,2.82,0,0,27.12,0.5,0,0.61,0,0,0,0,4.65,0
 60-70,0,0,0,0,4.26,0,0,0,0,0,0,2.49,0,0,48.12,0,0,0,0,0,0,0,8.92,0
 72-82,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,19.32,0,0,0,0,1.01,0,0,0,0
 84-94,0,0,0,0,1.76,0,1.13,0,0,0,0.72,4.45,0,0.74,23.04,0,0.77,0,0,0,0,0,9.43,0
 96-106,0,0,0,3.74,5.88,0,0,1.36,0,0.7,0,8.63,0,0,9.92,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.92,0,7.78,0,0,0,0,8.75,0.97,0,3.02,0,0,0,0,0,0,0,0,3.96
120,0,0,7.07,0,0,0,0,1.07,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
