stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.03,48.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,17.31,0,8.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,1.46,2.3,0,0,0,0,0,0,1.32,3.44,0,0,0
 24-34,0,0,1.45,0,0,0,0,0,0,0,0,0,0.69,1.16,0,0,10.32,1.45,0,0,0,0,0,0,3.56,0,0,9.55
 36-46,0,0,0.95,0,0,0,0,1.81,0,0,0,0,0,1.5,0,0,24.73,16.48,0,0,0,0,0,0,10.74,0,0,0
 48-58,0,0,0,0,0,0,4.38,2.56,0,0,0.47,0,0,1.89,0,0,21.28,26.17,0,0,0,0,0,0,0.69,0,0,0
 60-70,0,0,0.57,0,0,0,13.16,2.4,0,0,0,0,0,4.54,0,0,26.23,9.93,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.15,0,6.01,0,44.68,14.92,0,0,0,0,0,57.55,4.31,0,23.49,39.76,0,0.57,0,0,0,0,1.53,0,0,0
 84-94,0,0,2.47,0,0,0,64.27,4.8,1.71,0,0,0,0,68.14,0,0,21.42,30.77,0,0.99,1.4,0,0,0,0.66,2.42,0,0
 96-106,0,0,3.12,0,0,2.22,231.35,16.5,5.79,2.36,0,0,0,112.78,0,0,48.09,64.91,0,4.49,0,0.88,0,0,1.51,2.64,0,0
108-118,0,0,5.43,0,0.94,0,321.57,1.26,11.76,0,0,0.51,0,149.99,0,0,17.5,27.63,0,4.76,0,0.53,0,0,5.53,2.82,0.9,0.85
120,0,0,0,0,2.34,0,238.97,18.65,7.65,0,0,0,0,179.92,0,0,27.75,53.55,0,16.98,0,0,6.93,0,0,1.81,0,0
