stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,29.75,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.91,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.51,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,3.2,0,0,0,0,0,0,0,22,4.76,2.58,0,0,0,0,0
 24-34,0,0,3.49,0.62,0,10.7,32.01,0,0,1.96,0,0,0,0,0.73,0,0,0,8.93,0,0,7.89,100.14,0.67,0,0.74,0,0,7.89,0.6,15,29.01,10.53,0,0,3.55,0,3.57
 36-46,0,0,0,0,0,0.57,24.74,0.8,0.62,10.49,0,0,15.01,0,0,0,0,0,12.91,1.01,0,11.05,244.32,6.2,1.45,1.45,0,0,14.37,0,8.18,9.66,17.5,0,0,0,0,0
 48-58,0,0,1.6,0,0,15.43,18.26,0,0.51,7.02,0,0,2.05,0,0,0,0.53,0,21.62,0,0,7.5,365,1,1.36,1.81,0,0,6.78,0.37,15.66,0,30.76,0,0,9.04,0,16.94
 60-70,0,0,0,0,0,30.66,45.96,1.01,0,7.07,0,0,3.66,0.6,0,2.01,0,0,27.26,0,0,9.33,617.21,0,0,0,0.81,0,7.31,0,11.39,0,10.01,0,0,0,0,7.71
 72-82,0,0,1.82,0,0,66.87,114.03,3.46,3.79,20.16,0,0.6,2.27,0,0,12.96,0,0,43.04,0,2.7,15.33,1028.67,0.66,2.66,0.86,0,0,7.87,0,15.92,0,11.15,0,1.78,6.77,2.17,0
 84-94,0,0,2.98,0,0,78.26,202.9,0,0.67,8.55,0,0,1.88,2.17,0.68,0.61,0.92,1.15,20.21,1.39,0,28.07,758.4,0,0,2.85,0,0,4.85,0,34.78,0,7.23,0,2.64,4.22,5.21,8.42
 96-106,0,0,16.25,11.62,0.6,76.15,290.73,0.75,11.35,13.61,7.76,0,7.01,6.08,0,1.8,1.11,2.96,22.68,0,6.69,65.5,912.77,0.73,0,4.63,0,0,7.82,0,23.32,0,3.26,1.85,0,9.81,2.78,0
108-118,0,0,4.2,7.58,0,87.32,275.49,2.38,0,21.41,3.04,0,6.41,1.01,0.95,0.65,1.77,2.11,44.04,0,0,50.43,1190.35,0.47,2.71,8.47,0,2.12,1.87,1.48,29.48,0,17.76,2.9,2.76,1.82,4.95,0
120,0,0,6.64,2.03,0,77.9,284.03,2.47,0,5.78,0,0,1.15,8.84,0,0,4.16,1.42,55.24,0,0,46.53,3163.63,0,0,0,0,0,19.87,5.96,7.36,0,41.35,0,0,0,10.35,0
