stage,axial,eye,fast.muscle,melanocytes,mesenchyme,muscle,neural,notochord,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.94,1.03,6.22,3.22,0,0,0,0
 24-34,0,0.62,0,0,0,0,5.27,0.61,3.67,0,0.62,0,0,0
 36-46,0,0,5.75,0,0,0,4.31,0,3.51,0,0,0,0,0
 48-58,0,0,4.93,6.68,0,0,7.03,4.58,4.07,0,0,0,0,0
 60-70,0,0,3.18,0,0.77,0.67,18.7,0,11.85,0,0,0,0,4.81
 72-82,0,2.52,0,0,0,0.69,5.63,0,3.17,0,0,0,0,0
 84-94,0,0,6.77,0,1.76,0,0,0,1.43,0,0,0,0,0
 96-106,0,0,7.42,0,0,0,0,0,7.95,0,0,1.26,0,0
108-118,0,1.13,3.04,0,1.46,2.63,0,0,2.56,0,1.2,0,1.91,0
120,0,0,5.43,0,0,0,0,0,2.53,0,0,0,0,0
