stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,mural.cell,muscle,neural,pronephros,spinal.cord,vasculature
  5-6,7.1,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.59,0,0,0,0,0,0,15.54,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.91,0,0,2.85,0
 24-34,0,0,0,0,0,0,0,0,0,3.38,0,3.71,0
 36-46,0,0,0,0,0,1.39,0,0.86,0,32.52,0,3.28,0
 48-58,0,0,0,0,6.04,0,1.07,0,0,33.92,0,5.5,0
 60-70,0,0,0,0,37.24,0,0,0,0,56.3,0,4.65,0
 72-82,0,0,0,2.57,68.74,0,2.59,0,0,51.32,0,3.61,0
 84-94,0,0,0,0,15.72,0,0,0,0,94.85,0,12.22,0
 96-106,0,1.11,0,0,56.72,0,1.23,0,0,32.84,0,0,0
108-118,0,0,0,0,37.03,0,0,0,0,48.08,1.88,1.46,1.07
120,0,0,0,0,35.44,0,0,0,0,62.45,0,0,0
