stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0.89,0.91,1.46,1.05,2.87,0
 24-34,0,0,0,0.72,0,0.84,0,0,0,1.29,0.96,0,0,0,18.14,5.83,1.44,7.69,0,0,2.3,0.78,1.92,0
 36-46,0,0.6,2.1,0,0,0,0,0,0,1.34,0,0.6,0.68,3.44,31.42,6.29,0.76,23.19,0,0,3.17,0,8.43,0
 48-58,0,0,4.22,0.97,0,0.72,0,0,0,0,0,0.47,0,0,56.3,0.41,0.4,13.12,0,0,2.9,0,7.19,0
 60-70,0,4.15,18.75,0.64,0.79,0.88,4.03,0,0,0.56,0,5.38,1.02,0,51.43,1.15,0,0.81,0,0,0,0,16.72,0
 72-82,0.62,0,11.75,0,0,2.71,0.66,0,0,1.62,0.99,0,1.06,0,131.22,1.19,3.04,7.11,0,0,1.5,0,18.82,0
 84-94,0.84,3.65,11.83,0,0,6.35,1.39,1.3,2.28,5.94,1.2,0,0,0,70.06,0,0,17.43,0,0,0,0,10.86,1.53
 96-106,1.06,0.8,23.48,0,0,4.61,2.77,0,0.81,1.25,6.34,2.27,3.98,0,68.83,0.66,3.6,43.89,0,0,0,0,0,0
108-118,5.31,5.42,33.24,1.42,1.11,6.5,0,0,1.33,3.99,0,0.6,0,0,71.35,5.07,2.36,30.22,0,0,0,0,1.51,0
120,0,5.65,29.63,0,0,5.04,7.19,0,0,4.61,11,2.86,0,2.62,57.35,0,1.28,10.8,0,0,0,0,0,0
