stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0.98,0,5.56,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.11,0,3.88,56.49,0,0,0,0,16.63,0,0,0.77
 36-46,0,0,11.29,0,0,0,0,0,0,1.86,0,0,126.4,1.08,0,0,0,14.75,0,0,0
 48-58,0,0,19.07,0,0,0.41,0,0,0,3.4,0,0.96,107.12,0,0,0,0,11.83,2.44,0,0
 60-70,0,0,55.77,0,0,0,1.86,0,0,11.29,0,2.05,119.1,0,0,0,1.35,11.85,0.57,0,0
 72-82,0,3.17,67.16,0,0,0.6,9.5,1.27,0,16.06,0,0.53,135.63,0,0,0,0,13.82,1,0.52,0
 84-94,0,0,20.34,0,0,0,3.51,0.73,0,11.9,1.68,0,90.22,0,0,0,0,7.52,1.18,0,0
 96-106,1.37,3.13,20.65,2.1,0,0,0,0,1.13,18.53,0,0,73.05,0,0,0,0,0,4.29,0,0
108-118,0,0,19.17,0,0.7,0,2.1,0,0,20.9,0.91,4.08,75.93,0,1.27,0,0,0,4.57,0,0
120,0,0,6.08,0,0,0,4.53,0,0,12.37,2.35,0,87.55,0,0,0,0,0,0,0,0
