stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle
  3-4,57.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0
  7-9,0,0,0,0,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,7.9,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,21.29,0,0
 24-34,0,0,2.06,0,0,5.11,0,0,0,0,0.86,0,0,0,0.69,0,0,0,227.24,0,0,0,0,0,0,0,15.31,0,0
 36-46,0,0,2.6,0,0,4.82,0,0,0.98,0,0,0,0,0,0,2.36,0,0,673.31,0,5.18,0,0,0,0,0,49.07,0,0
 48-58,0,0,9.84,0,0,66.06,0,0,0,0,0,0,0,0,0,1.28,0,0.38,915.86,0,3.8,0.46,0,0,0,0,54.68,0,0
 60-70,0,0,3.94,0,0,816,1.46,0,3.56,0,0.9,0,0.72,0,0,10.23,0,2.81,1598.47,0,6.37,0,0,0,1.51,0,115.59,0,0
 72-82,0,0,5.97,0,0,1536.39,0,0,29.16,0,0,0,0,0,0,16.07,0,1.51,2041.21,0,0.98,0,0,0.87,0,0.64,120.33,0,0
 84-94,0,0,14.25,0,0,987.6,0,0,21.45,3.92,0,1.16,0,0,0,8.03,0,0,1466.47,0,0,0.69,0,0,0,0,41.88,0,0
 96-106,0,1.62,6.98,4.07,5.91,1535.16,1.8,0,41.11,0,0,0.95,0,0,0,20.37,0.62,0.92,1199.88,0,0,2.12,0,0,3.77,0,32.72,0,0.77
108-118,0,1.03,4.59,0.43,4.57,919.37,0,1.03,25.98,1.8,0,1.65,0,0.56,0,11.64,0,0.44,1264.16,0,1.47,1.71,0,0,0,0,42.03,11.28,0
120,0,0,30.31,2.21,4.06,667.38,1.21,0,13.02,0,4.47,0,0,0,0,0,0,7.8,1722.66,3.89,3.81,0,0,0,0,0,15.03,0,2.55
