stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.64,474.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,78.52,548.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.31,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.97,0,0,0,4.52,0,0,0,0,7.17,0,0,0,0,0,0,0,0,0,0,92.44,0,0,0,71.39,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.08,0,3.34,0,0,0,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.51,0,0,0,25.76,0,0,4.8,0,56.25,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,12.76,0,0,3.76,0,0,0.93,0.96,0,0,0,0.82,0,0,0,4.85,0,0,3.56,37.08,0,0,0,1.19,0,1.57,0,3.98,0,0,6.24,13.15,0,0,1.65,0,0
 24-34,0,0,0,0,5.21,0.76,0,11.48,2.16,0,4.88,0,0,1.67,0,0,0,0,0.98,25.76,0,0,13.04,228.57,3.16,0,0.87,0,0,2.01,0,0,0,0.95,0.62,73.67,0,0,6.78,0,0
 36-46,0,0,0,0,9.85,0,0,21.38,0,1.13,2.85,0,0,0,0,0,0,0.83,0,31.76,0,0.96,6.72,393.5,1.06,2.21,0,0,0,5.13,0,0,0,0,0,68.67,0,0,2.13,0,0
 48-58,0,0,0,0,2.29,0,0,64.45,1.25,3.97,7.16,0,0,0,0.56,0,0,0,0,26.78,0,1.42,11.8,448.06,0,1.66,0.69,0,0,0,0,0,0,0,0,92.47,0,0,7.73,0,0
 60-70,0,0,0,0,0,0,0,109.9,0,0.67,4.24,0,0,0,0,0,0,2.74,0,50.11,0,0.87,2.15,397.54,0.83,2.28,0,0,0.84,0,0,0,0,4.7,0,71.1,0,0.69,2.25,0.73,0
 72-82,0,0,0,0,5.57,0,0,146.43,1.08,5.01,19.28,1.47,0,1.52,1.18,0,0,0,0,68.83,0,0,6.07,481.45,0,2,0,0,0,0,0,0,0.73,0,0,99.35,0.53,3.31,0.5,3.64,0
 84-94,0,0,0,0,8.99,0,0,80.35,0.6,3.25,5.3,1.41,0,2.08,0,0,0,0,1.82,38.43,0,3.61,5.49,313.31,0.72,0,3.79,0,1.49,0.78,0,0,0,0,0,65.38,0,2.81,1.61,0,0
 96-106,0,0,1.28,0,4.43,0,0,81.22,3.17,0.59,11.18,0,0,4.36,0,0,0,0,0,61.27,0,0.76,0,257.54,0.58,1.03,0,0,0,0,0,0,0,0,0,30.29,0,2.67,11.24,3.12,0.8
108-118,0,0,0,0,5.37,0.56,1.2,58.04,1.38,0,18.6,0,0,0,1,0,0.56,0.6,1.02,54.01,0,1.35,2.76,348.55,0,0.47,1.58,0,3.39,0.57,0,0,0,0,0,34.43,0,0,4.32,0,0
120,0,0,0,0,2.65,0,0,72.97,2.24,0,4.92,0,0,0,0,0,0,3.99,0,31.64,1.49,18.32,5.87,612.47,12.05,0,2.84,0,0,0,0,0,0,0,0,29.97,0,0,0,0,2.34
