stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.98,54.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.03,61.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,12.42,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.97,0,0,7.62,0,0,0,12.5,0,0,0,0,0,0,0
 14-21,0,0,4.48,42.47,189.6,0,0,0,0,0,0,9.66,0,0,0,0,0,232.15,0,0,66.93,162.52,0,0,0,0,0,0,0,0,0,28.79,0,0,0,0
 24-34,0,0,23.07,22.1,27.65,1.12,0,0,0,1.18,2.42,8.89,0,0,0.7,0,1.71,274.8,0,0,75.39,359.48,7.77,4.22,0,0,5.16,0,0,0,0.72,55.1,0,0,0,1.51
 36-46,0,0,0,1.13,5.62,3.09,3.47,0,0,0,3,48.18,0,0,2.21,0,0,145.32,0,12.3,102.2,89.66,0,0,0,8.24,0,1.78,0,0,0,57.52,0,0,0,0
 48-58,0,0,0,0,1.27,25.95,0,0,0,6.67,0.59,46.88,0,0,0,0,0,182.89,0.8,51.1,114.96,164.35,0,0,0,2.36,7.18,0.92,0,0,0,57.86,0,1.18,4.08,0
 60-70,0,0,0,4.29,0,11.91,6.29,0.61,0.98,0.76,0,92.41,4.08,0,0,2.74,0,272.01,0,132.56,56.04,108,0,0,0,4.19,0,0,0,0,0,40.31,0,45.63,38.29,0
 72-82,0,0,0,3.52,0,28.77,2.27,5.53,0,2.06,0,120.07,3.54,0,0,3.49,0,423.84,0,139.01,41.6,34.06,0,0,0,31.97,0.85,0,0,0,0,13.07,2.98,88.85,134.65,0
 84-94,0,0,0,6.88,0,22.99,2.84,0,3.3,6.54,0,98.77,0,0,0,0,0,340.96,0,116.05,20.48,14.47,0,0,0,18.69,0,0,0,0,0,7.56,0,112.34,149.5,0
 96-106,0,0,0,0.89,0.6,9.16,2.54,0,1.81,12.66,0,77.93,0,2.39,1.66,0.57,0,422.7,0,79.76,76.09,66.78,0,0,0,59.26,0,0,0,0,0,2.7,0,59.31,168.96,0
108-118,0,0,0,4.26,0,21.22,12.65,0,2.63,3.8,0,88.84,1.96,0,0,0,0,447.38,0,82.14,37.6,36.77,0,0,0,99.11,0,0,0,0,0,0,0,48.53,134.94,0
120,0,0,0,29.75,0,1.66,9.43,0,16.45,7.45,2.8,110.55,0,0,0,5.66,0,367.1,0,128.62,68.15,27,0,0,0,153.89,3.01,0,0,1.69,0,0,0,47.75,184.11,0
