stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  5-6,6.71,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,13.43,0,5.73,0,0
 10-12,0,10.09,0,4.29,0,0,0,0,7.65,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.75,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.26,0,0,0,3.26
 36-46,0,0,0,0,0,0,0.58,0,2.99,1.22,0,0,0
 48-58,0,0,0,0.73,0,0,0,0,1.81,0,0,0,0
 60-70,0,0,0,0.76,0,0,0.75,0,2.85,0,0,0,0
 72-82,0,0,0,3.56,0,0,2.33,0,5.33,0.59,0,0,0
 84-94,0,0,2.17,1.59,0.74,0,2.18,0,3.72,0,0,0,0
 96-106,0,0,0.71,0,0,0,0,0,2.83,0,0,1.7,0
108-118,0,0,0,1.49,0,1.55,0,1.39,6.16,0,0,0,0
120,0,0,0,0,0,1.81,1.88,0,0,0,0,0,0
