stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.92,232.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.31,0,0,0,0,0,0,0,0,0,0
  5-6,0,164.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,11.72,0,0,0,0,0,8.49,0,0,0,0,0,0,0,0,0,0,53.1,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,26.01,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,205.49,12.9,0,0,30.06,0,5.95,0,0,0,0,4.33,0,0,0,0
 14-21,0,0,3.51,1.9,0,11.14,0,0,0,1,0,0,0,0,0,0,0,0,3.6,0,0,0.87,42.83,0,0,2.05,0,0,0,4.16,0,0,3.94,17.87,0,0,0,0
 24-34,0,0,0,1.74,0,14.42,0,0,0,2.53,0,0,0,0.65,1.75,0,0,0,5.56,0,0,1.24,84.01,0.69,0,1.97,0,0.6,0,0,0,0,3.29,26.45,0,1.31,0,0
 36-46,0,0,0,0,0,15.98,0,0,1.17,3.05,0,0,0,0,0,0,0,0,7.71,0,0,0.72,54.36,0,0,0.89,0,0.67,0,0,0,7.99,0,11.63,0,0,0,0
 48-58,0,0,0,0,0,19.66,0.97,0.45,0,3.22,0,0,0,0,0,0,0,0,7.18,0,0,9.51,62.13,0,0,1.93,0,2.88,0,0,1.06,0.93,0,11.54,0,2.51,0,3.36
 60-70,0,0,2.94,0,0,18.02,0,1.33,0.89,7.31,3.18,0,0,13.27,0,0,0,0,17.73,0,0,2.17,83.47,0.63,0,1.2,0,5.07,0,0,0,0,0,27.06,0,0,0,0
 72-82,0,0,0,0.5,3.14,15.17,0,0.55,0,15.17,0,0,0,0,0.89,3.66,0.59,0,26.25,0,3.98,5.12,126.33,3.09,3.91,0.49,0,1.77,0,0,3.3,0,0,4.85,0,5.4,7.79,0
 84-94,0,0,1.08,0,0,28.29,0,2.44,1.81,3.87,0,0,0.98,1.23,0.89,1.77,2.26,0,24.53,0,2.3,3.54,76.89,1.8,9.74,0,0,19.62,0,0,1.46,6.08,0,5.23,0,1.98,0,0.64
 96-106,0,0,0.64,7.87,0,21.04,0,0,0,13.89,4.82,0,0.88,0.78,0,0,0,0.63,30.73,0.76,2.34,5.07,62.51,1.32,2.73,2.55,0,13.15,0,0,0,0,0,13.22,0.62,0,0,0
108-118,0,0,11.25,0,3.15,25.36,0,0.42,0.94,19.69,0.55,0,0.69,1.9,0.64,0,0.51,6.89,37.31,0,2.74,14.11,71.17,1.45,1.91,0.52,0,14.48,0,0,1.01,1.65,0,11.18,0,3.84,0,13.33
120,0,0,34.16,0,0,27.69,0,1.06,1.83,27.29,3.75,0,0,3.37,0,0,0,1.14,11.63,0,5.78,10.59,75.52,0,0,3.34,0,5.56,0,0,1.13,0,0,37.31,0,0,0,0
