stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature
  3-4,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,16.1,0,9.37,0,0,0,0,0
 14-21,0,0,0,0,0,0.83,0,3.52,0,0,0,2.3,2.03,0,0
 24-34,0,0.64,0,0,0,0,0,15.51,0,0,0,0,0,0,0
 36-46,0,0,0,1.68,0,0,0,32.85,0,0,0,0,4.29,0,0
 48-58,0,0.39,0.44,1.98,0.97,0,0,11.92,0,0,0,0,5.33,0,0
 60-70,0,2.37,0,6.61,0,0.6,0,27.88,0,0,0,0,6.72,0,0
 72-82,0,0,0,4.9,0.96,0.57,0,24.86,0.98,0,0,0,7.57,0,2.32
 84-94,0,0.57,0.93,12.46,0,2.5,0,17.84,0,0,0.65,0,0.66,0,0
 96-106,0,0,0.82,3.39,1.53,0,0,7.61,0,0,0,0,0.57,0,0
108-118,0,1.53,0,1.27,1.95,2.97,1.06,22.73,0,0,0.76,0,0,0.44,0
120,0,0,0,1.69,0,12.2,0,24.1,0,0,0,0,0,0,0
