stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,0,29.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.59,34.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.08,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2,0,3.96,0,0,0,0,0,0,0
 10-12,0,5.18,0,0,0,0,11.32,0,0,0,0,7.72,0,0,0,99.49,0,5.95,0,0,15.45,0,0,0,0
 14-21,0,0,0,1.01,1.93,0,0,0,0,0.82,0,0,0,0.86,0,8.4,0,0,0,1.05,0,0.81,3.18,0,0
 24-34,0,0,0,4.48,1.72,0,0,0,0,1.16,0,0,0,0,2.27,5.06,0,0,0,0,0,0,6.17,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.45,1.15,0,0,0,0,3.62,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.07,0,0,0,0,0,0,0,2.99,0,0,0.65,0,10.43,0,0,0,0,0,0,1.68,0,0
 60-70,0,0,1.56,0,0,0,14.22,0,1.14,0,5.53,0,0,0,0,7.4,0.96,0,0,0,0,0,0.82,0,2.86
 72-82,0,0,4.71,0,0,0,0,0,1.76,0,21.01,0,0,2.83,1.23,8.14,0,0,1.74,0,0,0,0,0,0
 84-94,0,0,3.67,0,2.52,0,11.42,0,0,0,25.15,0,1.14,0,0,6.41,0,0,0,0,0,0,0,1.18,0
 96-106,0,0,7.18,0,0,0.56,8.24,0,0,0,18.54,0,0.6,0,0,31.1,0,0,0,0,0,0,0,0,0
108-118,0,0,1.39,0.41,0,0,10.64,0,0,0,31.29,0,1.95,0,0,4.45,0,0,3.53,0,0.45,0,0,0,0
120,0,0,0,0,0,0,7.67,1.91,0,0,50.26,0,21.13,14.58,0,18.09,0,0,0,0,0,0,0,0,0
