stage,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,glial,gut,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,otic,pericytes,periderm,pronephros,spinal.cord
 14-21,0.86,0.87,0,0,0,0,0,0,0,0,1.3,0,0,5.9,0,0,0,1.15,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.76,0,0,10.77,1.16,0,0,0,3.13
 36-46,0,0,0,0,3.39,0,0,1.14,0,0,1.44,0,0.58,13.75,0,0,0,0,2.8
 48-58,0,0,0,3.46,0,0,0,0.94,0,0,0.57,0,4.59,47.92,0,0,0,0.99,2.9
 60-70,0,0,0,0.72,0,0,0,0,5.4,0,1.23,0,0,62.29,0,0,0,0.83,3.43
 72-82,0,0,0,3.68,0,0,0.55,0,0,0,0.52,0.67,1.25,68.18,1.44,0,0,0,0.84
 84-94,0,0,0,3.12,0,0,0,1.36,0,0.83,4.32,0,0,31.17,0.6,0,0,0,6.24
 96-106,0,0,0,0,0,0.64,0,3.34,1,0,1.69,0,0,8.94,0,0,0,0,1.19
108-118,0,0,2.72,1.37,0,0,0,5.37,0.49,0,0,0,0,16.26,1.68,1.1,0.45,0,2.77
120,0,0,0,4.46,0,0,0,15.78,0,0,0,0,0,91.02,6.32,0,0,0,0
