stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0,0,0,10.41,0,0,0,0,0,0
 14-21,0,0,1.37,0,0,0,44.74,0,0,0,0,0,0,0,0,0,1.39,0,0,31.43,0,2.02,1.65,0,92.11,24.03,104.48,0,0,0
 24-34,0,0,1.4,0,1.02,0,57.2,0,0,0,0,0.6,0,0,1.38,0.71,0,0,0,38.68,2.15,14.54,2.91,0,59.42,24.58,54.86,0,0.73,0
 36-46,0,0,0,0,0,0,24.78,0,0,0,0,0,0,0,0,0,0,0,0,41.98,0,30.37,0,0,35.47,29.68,52.27,0,0,0
 48-58,0,0,1.39,0,2.51,0,25.65,0.41,0,0,0,0,0,0.4,0,0.93,0,0,0,26.27,0,15.96,2.22,0,14.47,11.88,51.99,0,0,5.5
 60-70,0,0,0,0,3.25,0,10.02,0,1.77,0,0,0,0,0,0,0,0,5.65,0,18.1,0,27.43,2.99,0,28.07,0.62,18.28,0,0,0
 72-82,0,2.53,0,0,6.69,1.08,23.55,0.56,0,0,0,2.07,0,0,0,2.71,0,0,0,25.85,0,29.06,7.06,0,35.28,1.86,16.5,0,0,0
 84-94,0,1.19,0,1.46,0,2.09,33.99,0,3.23,0.79,0,3.45,0,3.14,2.32,3.38,0,0,0,30.13,0,21.79,10.46,0,99.68,8.91,13.32,0,0,0
 96-106,0,0,4.45,1.38,4.09,0.73,22.2,0.89,1.06,0,0,0.95,0,5.51,3.93,5.57,0.69,0,0,17.55,0,50.92,17.25,0,123.01,4.49,18.04,0,0,0
108-118,0,0.52,2.62,0,0,1.92,16.03,0,0,0,0,3.4,2.86,5.99,6.51,5.51,1.37,0,1.58,13.34,0,30.02,16.44,0,56.67,3.54,20.58,1.11,0,0
120,0,0,1.25,0,17.73,2.74,23.48,0,0,0,1.18,0,0,1.57,3.24,1.95,0,0,0,47.07,0,64.6,28.43,0,26.13,4.05,21.49,1.52,0,0
