stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,87.49,141.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.75,283.26,31.22,0,0,0,128.73,0,0,643.57,7.03,16.81,0,0,0,0,0,0
  7-9,82.78,5.98,65.21,0,0,0,3.64,0,0,141.46,34.34,279.44,0,0,0,0,0,0
 10-12,0,17.54,27.63,0,0,0,10.62,0,0,44.46,64.87,103.92,0,0,7.47,7.48,0,0
 14-21,0,0,0,2.22,0,0,0,0.86,0,2.45,0,0,0.81,6.63,0,1.81,0,2.4
 24-34,0,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,9.35,0,0,0.64,0,0,0,0.64,0
 48-58,0,0,0,0,0,0.49,0,0.39,0,1.27,0,0,3.91,0,0,0,0.73,0
 60-70,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.11,0.73,0,0,0.78,5.38,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.74,0,0,0,0,0,0,0.5,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0
