stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,1.65,2.6,0.97,0,0,0,0,0,0,0,0,0,0,1.07,30.34,0,0,0,1.35,2.17,0,2.64,0
 24-34,0,0,0,3.33,0,0,0,0,0,0,0,0,3.85,0,0,18.68,0,0.69,1.67,0.74,1.81,0,0,0
 36-46,0,0.79,0,2.57,0,0,0.67,0,0.75,0,6.5,0,0.81,0,0,36.04,0,0,1.37,0,2.07,0,1.02,0
 48-58,0,0,0,5.09,0,0,8.43,0,0.65,0,0,0.95,3.24,0,0,28.27,0,0,0,0,6.91,0,0,0
 60-70,0,3.53,0,8.1,0,0,0,0,0,0,0,0,2.83,0,0,37.28,4.76,0,10.97,0,10.38,0,0,0
 72-82,0.87,0,0.52,15.69,1.43,1.34,1.58,0.56,1.06,1.05,0,0,2.12,0,0.56,47.86,0,0,0,0,0.91,0.69,0,0
 84-94,0,0,0,7.36,0,0,3.13,0.66,0,4.7,0,0,13.39,0.6,0.7,15.46,0,0,6.2,0,0,0,8.68,0
 96-106,1.19,4.65,9.17,2.78,0,0,0,0,0,2.02,0,0,6.37,0,0,1.45,1.71,0,3.14,0,1.51,0,5.86,1.92
108-118,0,0,0,4.68,0,0,0.48,1.68,0,4.2,0.65,0,10.8,0,0,37.8,0,0,0,0,0,0,5.95,0
120,0,0,0,13.89,0,0,0,0,0,15.1,0,0,0,5.52,0,69.41,0,0,12.66,0,0,0,3.03,0
