stage,axial,blastomeres,epidermis,eye,glial,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,20.16,70.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.03,26.3,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0
  7-9,0,0,0,8.47,0,0,0,0,0,0,13.37,0,13.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.5,0,0,0,0,0,0,0,10.12,0,0,0,2.04,0,0,0.81,3.51,0,0
 24-34,0,0,0,3.15,0.73,0,0,2.78,0,1.22,15.78,0.73,0,0,0,0,0,0,3.26,0,0.86
 36-46,0,0,0,7.31,0,0,0,0,0,0,13.95,0.76,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,4.06,3.33,0,0,0.4,0,0,7.79,0,0,0,0,0,1.48,0,2.1,0,0
 60-70,0,0,3.94,7.2,0.76,0,0,4.16,0,0,7.41,0,0,0,0,0,0,0,2.88,0,0
 72-82,0,0,0,5.78,0.5,0.92,0,0.65,0,0,12.39,0,0,0,0,0,0,0,0.93,0,0
 84-94,0,0,0,5.32,0,0,1.05,0.6,1.29,0,2.67,0.89,0,0,0,0.64,0,0,0,1.15,0
 96-106,0,0,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.24,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,2.23,0,0,0,0,2.49,0,0,0,0,0,1.08,0,0,0,0,0,0,0
