stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,1.27,10.04,0,0,0,0,0,0,0,0,2.54,0,0,0,0,1.41
 24-34,0,0,0,0,0,1.43,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0.6,0,0,0,8.62,0,0,0,0,0.89,0,0,0,0.72,0,0,0,0,0
 36-46,0,0,0,0,0,4.92,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0.62,0,0,0,11.35,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0
 48-58,0,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,16.04,0,0,0,3.94,0,0,0,0,0.9,0,0,0,0,1.54,0,0,0,6.7,0,0,0,0,2.59,0,0,0,0,0,0,0,0,0
 72-82,1.73,0,0,1.71,0,282.86,0,0,0,16.36,6.8,0,0.87,0.5,0.6,0,0,0,0,15.74,0.59,0,0.69,49.29,0,0,0,2.41,22.91,0,0,0,0,0.87,0,2.14,0,4.23
 84-94,0,0,3.22,0.98,0,354.97,0,1.14,0,37.66,1.2,1.22,0,8.03,2.5,2.67,2.02,5.57,1.93,31.15,1.42,0,1.98,67.07,0,0,2.88,0,77.91,0,0,0,0.94,4.4,0,2.7,0,7.44
 96-106,4.13,0,32.22,49.91,0.77,686.83,0,3.94,3.41,66.49,14.68,0,2.85,12.56,8.55,1.81,12.05,4.87,0.71,124.87,7.91,9.07,6.2,157.34,0,2.91,6.58,5.12,148.22,0,0,0,7.19,13.34,10.99,32.2,3.4,22.83
108-118,3.8,0.45,118.88,11.25,34.19,821.04,0.85,31.35,13.45,139.35,31.24,0,2.45,24.5,15.75,39.84,18.41,10.76,5.45,272.48,13.31,2.58,30.51,350.17,0.99,4.94,14.65,17.05,149.3,0,2.34,1.19,5.32,22.9,0.72,33.57,8.58,30.05
120,3.64,0,152.38,25.56,19.65,722.38,5.85,54.43,24.46,305.05,36.48,0,13.94,50.3,16.78,9.81,24.89,31.04,3.06,362.55,1.13,0,52.89,551.08,3.31,5.48,31.16,41.74,193.98,1.12,3.92,0,0,7.43,9.52,96.66,24.91,17.9
