stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.9,0,0,0,0,0,0
  5-6,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.92,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6,0,0,0,13.77,22.58,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,15.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.61,0,0,0,3.23,3.07,0,0,0,0,0,0
 14-21,0,0,0.93,3.73,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,1.83,0,0.82,0,0,0,0
 24-34,0,0.6,0,0.75,0.86,0,0,0,0.62,0,0,1.61,0,0,5.82,0,0,0,5.69,0,0,0,14.01,0,0.67,0.73,0,27.4,0,0,0,0,0,0
 36-46,0,0,0,0.65,0,0,1.77,0,0.58,0,0,0,0,0,10.06,0,0.74,0,1.55,1.37,0,0,4.32,0,0,0,0,18.23,0,0,0,0,0,0
 48-58,0,0,0,1.11,0,0,1.71,0,0,0,0,5.92,0,0,0.59,0,0,0,0.8,0,0,0,7.02,0.99,0,0,0,41.09,0.8,0,0.95,0,0,0
 60-70,0,0,0,0.83,0,0,4.71,0,0,0.92,0,0.63,0,0,2.39,0,0,0,3.77,0.65,0,0,1.13,0,0,0,0,17.22,0,0,0,0.81,0,1.82
 72-82,0,0,0,0.53,0,0,2.72,0,0,0,1.23,2.37,1.42,0,6.3,0,1.48,0,1.05,2.51,0,0,10.34,0,0.98,1.48,0,15.24,1.01,0,0,1.89,0,0.5
 84-94,0,0,0,7.14,0,0,1.48,0,0,0,1.56,2.99,0,0,20.57,0,0.78,1.28,1.31,1.16,0,0.8,0,1.46,0,2.02,0,68.53,1.81,0,0,2.96,0,0
 96-106,0,1.07,0,21.15,0,0.62,1.9,2.37,0,1,3.47,0,0,1.12,25.67,0,15.91,2.09,8.53,2.74,0.88,0,0.58,0,3.09,0.6,0,54,2.21,0,6.34,3.02,0.58,0
108-118,0,0,0,29.17,0,1.22,1.15,0,0,0,3.95,0,0,0,21.55,1.03,5.72,0.54,3.72,2.01,0,0,14.76,0,0,2.84,0,40.07,0,0,0,6.2,0,0
120,0,0,0,19.23,0,0,1.48,0,0,0,1.92,0,0,0,15.66,0,2.39,4.16,2.07,0,0,0,28.51,0,10.58,5.1,0,24.14,2.39,0,0,3.05,0,0
