stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,22.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0
 10-12,0,9.04,0,0,0,0,0,0,0,0,0,0,0,0,13.68,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.98,0,0,0,0,0,3.09,0,0,0,7.1,0,0,0,0.86,2.88,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,23.87,2.95,0.63,0,0,0.61,0,0,0
 36-46,0,0,0.84,0,0,0,0,0,0,0,0.78,0,0,0,122.08,0,1.22,0,0,11.79,0,0,0
 48-58,0,0,0,0,5.35,0.83,0,0,0,0,1.22,0,0,0,120.76,8.74,0.56,0,0,7.89,0,0,0
 60-70,0,0,0,0,37.81,0,0.57,0,2.19,0,2.42,0,0,0,267.85,0.73,1.59,0,0,18.15,0,0,0
 72-82,0,0,0.71,0,83.63,11.6,0,0,0,0,0.62,0,0.51,0,338.92,7.09,2.74,0,0,19.58,2.23,0,0
 84-94,0,0,2.17,0,75.79,14.98,0,0,0,0,3.1,0,0,0.71,234.73,1.57,3.36,0,0,26.13,0,0,0
 96-106,0,0,1.89,0,81.69,12.55,0,0,0,0,1.92,0,0,0,162.49,5.43,2.95,0,0,13.87,0,0,1.93
108-118,0,0,0.49,0,94.57,5.75,0,0.85,0,0,0.44,0,0,0,189.17,2.98,0.79,0,0,3.83,0,1.12,0
120,0,0,0,1.1,125.78,23.93,2.37,0,0,5.29,12.18,1.49,19.84,0,543.5,16.23,0,1.04,0,38.21,0,0,0
