stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.47,0,0,18.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.99,3.16,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,1.11,25.11,0.81,0,0,0.87,0,4.65,0,0,0,8.65,0,0,0,0,0
 24-34,0,0.9,0,0,0,1.59,0,0,0,1.44,0,0,0,0.63,0,0,0,0,15.01,0,0,3.75,258.58,1.95,0,2.91,0,0,0,0,3.62,0,51.99,0,0,0,0,0
 36-46,0,0,0,0,0,34.67,7.84,0,0.75,7.37,0,0,3.62,0,4.89,0,0,0,16.1,0,0,2.21,966.08,0.6,3.85,0,0,0,0,0,5.53,1.38,126.52,0,0,0,0,0
 48-58,0,0,0,14.66,0,224.88,3.21,0,0,37.69,0,0,0.67,0,14,0,0,0,25.22,3.08,1.29,1.7,1693.75,0.96,3.57,0.74,0,0,2.27,0,3.97,0,165.99,0,0,0.76,0,6.14
 60-70,0,0,0,7.15,0,616.61,3.11,3.72,0,77.69,0,0,0,0,8.28,0.8,0,0,33.05,0,0,2.37,2208.65,0.66,6.53,3.17,0,0,0,0,0,0,222.06,0.77,0,0,0,5.47
 72-82,0,0.68,0,8.23,5.26,730.44,6.96,0,0,102.68,0.63,0.51,1.21,0,14.87,1.06,0,0,14.55,0,0.51,1.27,1595.89,0,2.74,0.54,0,0,2.36,0,0.53,0,171.22,0,0,0.66,2.13,3.63
 84-94,0,0,0,1.75,0.57,516.72,7.27,0,0,79.25,0,0,6.63,0.55,16.5,0.86,0,2.81,17.57,0,2.67,3.92,1067.17,0,4.71,0.9,0,3.32,0,1.4,2.65,0,69.9,0,0,1.78,2.14,0
 96-106,0,0.63,0,3.26,2.34,498.96,2.73,2.73,7.78,88.95,1.19,0,6.78,0,8.58,0,0.73,0,28.14,2.03,0.84,0,728.05,0.58,2.32,0.62,0,3.21,3.06,0,0.72,0,50.57,0,5.41,2.43,2.03,0
108-118,0,0,0,7.91,0,367.29,8.42,0,0,54.59,3.73,0,6.3,0,20.72,0,0.7,8.2,22.25,0,3.16,3.76,1126.43,0.69,7.05,0,0,0,0,0,3.76,0,27.05,0,11.14,1.94,3.35,0
120,0,0,0,16.15,4.44,336.26,4.53,0,0,77.66,3.64,1.85,3.64,0,16.17,0,11.85,0,32.58,0,0,2.15,1514.58,0,2.15,2.92,0,0,2.72,0,2.35,0,42.78,0,4.22,0,0,2.59
