stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,10.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,1.66,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,7.46,0,3.5,0,0,0,0,1.09,0.84,0
 36-46,0,2.65,0,0,0,0,0,0,0,0,0.55,22.01,0,0,0,0,0,0,6.56,0,0
 48-58,0,0,0,8.16,0,0,0,0,0,0.9,0.38,31.09,0,0,0,0,0,0,14.48,0,0
 60-70,0,0,0,99.2,0,0,0,0,0.87,0,0,85.78,0,0,0,0,0,0,16.72,0,0
 72-82,0,0.58,1.36,218.62,0,0.68,0,0,0,2.98,1.06,186.57,0,0,1.28,0,0.49,0.53,9.97,0,1.14
 84-94,0,5.07,0,182.77,0,2.16,0,0,0,8.68,0,125.18,0,0,0,0,0,0,1.73,0,0
 96-106,0,0,1.27,190.25,0.75,6.7,1.52,0.58,0,3.1,0,84.97,0,2.04,0,0,0.73,0,26.26,0,0
108-118,0,3.49,0,166.49,0,0.99,1.31,0,0,3.83,0,131.84,1.26,0,0,0,1.91,0,4.18,0,0
120,0,1.77,0,130.39,0,0,6.18,0,0,0,7.29,146.89,0,0,0,0,0,0,0,0,0
