stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.35,0,0,0,0,0,0,0,0
  5-6,0,92.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.33,0,0,0,13.94,0,0,12.75,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,14.09,1.94,1.79,0,0,0,0.92,2.29,1.52,0.91,0.89,0,0,0,0,1.33,0,0,2.58,23.3,19.72,0,0,0,0,0.91,0,2.03,4.13,15.13,0,0,0.93,0
 24-34,0,0,0,0,2.46,0,3.43,0,0,0,0,0,0,0,1.1,0,0,0,0,2.55,0,0,4.67,117.63,0.73,0.98,0,0,0,5.62,0,0,0,19.5,0,0,8.52,0
 36-46,0,0,0,0,0.98,0,6.88,9.19,0,1.54,0,0,1.64,0,0,0,0,0,3.65,1.51,0,0,0.83,77.71,0,0,0,0,0,9.33,0,0,0,20.36,0,0,0,0
 48-58,0,0,0,0,0.45,0,51.2,0,0.41,13.02,0,0,0,0,0,0,0,0,0.87,5.63,0,0.99,0.74,105.97,0,1.75,0.46,0,0,4.42,0.74,0,0,34.13,0,0,0,0
 60-70,0,0,0,0,3.21,0,79.36,0.65,0,9.68,0,0,0.7,0,0,2.82,0,0,0,12.36,0,0,0.8,40.58,0,0,0,0,0,0.83,0,0,0,5.65,0,0,0,0
 72-82,0,0,0,0,2.15,7.06,143.65,0,0,11.05,1.01,0,0.58,0,0,9.12,0.62,0,0,4.6,0,0,0.69,98.2,0,2.77,0,0,0,1.17,0,0,0,14.58,0.92,0.51,4.57,0
 84-94,0,0,0,0,1.01,1.6,78.58,0,0.86,16.14,0.81,0,0,0.8,0.94,0.86,0,0,1.82,9.83,0,0,0,84.97,0,2.36,0,0,0,11.85,0,0,0,14.31,3.07,0,3.1,10.26
 96-106,0,0,0,0,0,5.82,36.34,0,0,0,0,0,0,0.74,0,0,0,4.34,0,2.88,4.41,0,0,13.79,0,0.61,0.72,0,0,3.55,0,0,0,3.66,0,0,0.93,0
108-118,0,0,0.58,0,0.72,0,91.78,0.54,0,7.43,0.63,0,0,3.43,0.54,0.65,0,0,2.19,5.47,0,0,0.63,71.27,0,0,0.43,0,2.43,7.23,0,0,0,12.81,0.55,0,0,4.5
120,0,0,0,0,3.3,0,70.89,1.78,0,21.01,0,0,0,0,0,7.94,0,0,0,27.55,0,0,0,147.93,1.33,5.76,0,0,0,21.27,0,0,0,5.78,0,0,2.97,0
