stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,somites
  3-4,44.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,128.11,0,0,0,0,0,0,0,0,0,0,10.44,0,0,0,0,0,0
  7-9,0,3.64,0,0,0,0,0,0,0,0,0,35.49,8.2,0,0,5.3,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,16.26,0,0,0,0,0,0
 14-21,0,0,8.47,0,0,0,0,0,0,0,2.08,0,0,0,0,0,1.05,0.98
 24-34,0,0,20.84,0,0,0,0,0,3.17,0,5.83,7.69,0,0,0,0,0,0.73
 36-46,0,0,20.5,0,0,0,0,0,19.18,0,2.03,0,0,0,0,0,0,0
 48-58,0,0,15.58,0,0.66,0,0,0,15.64,0,3.46,0,0,0,0,0,0,0
 60-70,0,0,10.85,0,0,0,0,0,41.41,0,9.51,2.65,0,0,0,0,0,0
 72-82,0,0,2.26,0,0.49,0,0,0,38.63,0,0,0,0,0,0.81,0,0,0
 84-94,0,0,11.37,1.23,0,1.99,0,0,17.27,0,2.76,0,0,0,0,0,0,0
 96-106,0,0,7.29,0,0,0,0,0,15.96,0,2.08,0,0,0,1.38,0,0,0
108-118,0,0,8.04,0,1.32,3.16,0.75,0.42,16.35,0.93,0.91,4.66,0,0,0,0,0,0
120,0,0,4.36,0,0,0,0,0,32.58,0,5.13,0,0,8.07,0,0,0,0
