stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle
  3-4,16.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.74,0,0,0,8.2,0,0,0,0,0,0
 10-12,0,0,0,0,5.35,0,0,0,0,0,0,19.41,10.13,0,0,14.8,0,0,0,0,0,0
 14-21,0,0,2.05,0,1,0,0,1.32,0,0.86,0,12.2,0,0,0,0,1.42,2.06,0,0,7.66,0
 24-34,0,0.7,0,0,0,0,0,2.41,0,3.38,0.78,13.72,0,0,0,0,0.68,0,0,1.51,3.67,0
 36-46,0,0,0,1.32,4.24,0,0,1.61,0,0.86,0,9.61,0,1.76,0,0,0.56,0,0,0,6.14,0
 48-58,0,0,0,0,1,0,0.44,0.64,0,0.81,0,4.9,0,0,0,0,1.62,0,0,0,3.91,0
 60-70,0,0,0,0,2.96,0,0,0,0,0,0.76,6.23,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.82,0,0,1.31,0,1.05,1.28,4.05,0,0,0,0,1.27,0,0,0,0,0
 84-94,0,0,0,0,1.88,0.86,0,0,0,2.07,2.38,3.98,0,0,1.27,0,0,0,1.35,0,0,0
 96-106,0,0,0,0,2.55,5.93,0,4.73,0,0.78,0,12.46,0,0,0,0,1.71,0,0,0,2.65,0
108-118,0,0,0.44,0,4.11,0,0,0,0.58,9.18,0,9.54,0,2.38,1.49,0,0,0,0.42,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,24.38,0,3.8,0,0,0,0,0,0,0,5.29
