stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,0,9.84,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.08,0.99,0,0.81,0,0,0,0.95,0,0,0.92,0.99,0,0,3.43,0,0,3.77,0,0,1.27,58.71,0.84,2.02,1.85,0,0,0,5.65,0,0,4.03,8,0,0,0,0,0
 24-34,0,0,0,23.21,0,0,8.35,0,0.7,0,7.19,0,0,0,3.33,2.01,0,42.14,0,0,25.5,0,0,14,206.26,2.06,2.58,12.16,0,0,26.42,0,2.43,0,2.8,38.42,0,0,5.24,0,6.41
 36-46,0,0,0,31.96,1.4,0,34.69,2.98,3.89,0,3.23,0,0,0,17.18,14.52,0,56.3,12,4.5,42.79,0,0.85,11.64,343.83,8.25,4.3,24.34,0,0,80.92,0,5.89,20.81,0,74.21,0,0,35.49,0,0.66
 48-58,0,0,0,61.09,1.88,0,104.4,10.45,5.55,4.13,56.67,0.38,4.42,0,26.46,0.63,5.4,39.9,0,0,68.91,1.87,0,53.53,470.15,39.32,4.89,15.05,0,0,93.12,0,13.73,6.27,0,28.56,0,0,26.41,0,0
 60-70,0,0,0,49.47,13.27,0,167.5,1.43,12.49,11.2,59.55,5.62,0,0,132.06,5.24,0.89,33.9,3.59,3.59,104.32,1.41,12.56,31.81,607.88,24.03,1.92,23.85,0,0,73.2,0,6.03,0.62,0,52.4,4.36,0,34.8,0,11.86
 72-82,0,3.33,0,58.3,24.01,1.86,120.53,1.92,16.63,3.89,200.4,5.09,0,0,661.47,9.84,0,89.47,2.95,0,403.53,2.35,4.59,60.18,934.21,6.79,1.19,20.21,0,0,42.89,0,0.84,0,0,12.63,6.74,7.29,65.72,3.9,9.4
 84-94,0,0,0,58.98,1.22,0,78.48,1.16,0,2.87,153.13,3.75,0,1.5,744.26,3.01,5.04,91.5,0,13.59,204.64,2.62,0,32.46,508.67,0,3.35,5.43,0,1.75,10.47,0,0,0,0,7.09,10.71,5.24,72.83,8.33,0
 96-106,0,3.66,0.97,120.29,17.3,0,54.68,0,1.63,0.85,123.2,4.61,0,2.93,1652.67,6.43,0,151.11,2.6,0.68,294.32,0.69,0,82.08,964.7,0.58,1.15,38.75,0,8.47,34.3,0,0.62,0,0,2.32,29.13,0,61.14,3.15,0
108-118,0,2.9,0.46,103.81,8.02,0.48,44.76,0,5.43,0,177.25,8.83,0,5.31,1947.75,2.61,1.26,138.28,2.22,2.16,389.88,1.62,0.69,59.54,904.76,0,3.92,17.11,0,11.26,4.95,0,0,0,0,2.04,54.29,1.3,61.83,10.55,0.59
120,0,0,0,238.38,3.92,0,91.49,0,10.25,16.86,239.43,14.62,0,5.86,4132.83,19.06,0,186.72,4.74,0,671.83,1.31,3.53,77.07,1431.74,0,29.83,31.37,0,17.08,39.83,0,0,0,0,2.68,30.52,0,94.17,0,0
