stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.89,0,0,0,0,0,0,0,0,0,0,0,12.55,0,0,0,0,16.15,0,0,0,0
 24-34,0,1.64,0,0,0.66,0,0,1.14,0,0.69,3.38,0.89,0,83.96,1.32,0.61,0,0,26.27,0,3.55,0,0
 36-46,0,8.62,0,0,0,0,0,0,0,0,4.34,0,0.97,257.95,1.42,0,0,4.05,46.02,0,0,0,0
 48-58,0,44.9,0.58,0.41,15.57,0,0,0,0,0,17.69,0,1.47,247.95,0,0,0,0,41.57,0,1.94,0,0
 60-70,0.58,114.19,0,0,5.09,0.87,0,0,0,1.56,28.34,0,0,212.84,1.16,0.59,0,0,27.29,2.25,1.31,0,0
 72-82,0.84,78.92,0,4.76,7.25,0,0,0,0,0,16.04,0,0.54,206.54,0,0,0,0,13.57,1.38,1.56,2.9,3.92
 84-94,0.66,91.13,0.75,4.22,5.23,0,1.25,0,0,0,23.48,1.13,5.74,158.02,0,0,2.65,0,15.58,0,1.94,0,0
 96-106,2.44,74.41,0,1.42,11.31,0,0,0,0,0,11.29,0,1.08,139.75,0.71,0,0,0,6.88,0,5.4,0,0
108-118,0,109.67,0,0,6.5,0,0,2.12,1.09,0,37.16,0,2.18,155.61,0,0,0,0,3.75,3.76,5.39,0,0
120,0,71.14,0,0,13.88,0,0,0,0,0,15.7,0,3.83,109.53,0,0,0,0,31.92,0,0,2.7,0
