stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,45.44,435.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.82,0,0,0,0,0,0,0,0,0
  5-6,55.78,478.32,0,0,0,0,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,29.25,0,0,0,8.76,0,82.94,0,0,0,0,0,0,0,0,0
  7-9,0,12.2,0,0,0,0,0,27.7,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,472.67,8.45,0,0,180.97,0,40.34,0,0,0,0,0,0,0,0,0
 10-12,0,6.45,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.19,4.99,0,0,53.39,0,31.6,0,0,0,0,0,0,0,0,0
 14-21,2.31,0,0,1.05,4.35,9.49,0,1.49,0,0,0,6.02,0.82,0,0,0.9,0,0,0,0,0,6.36,0,0,4.92,56.14,2.13,0,2.01,0.97,0,4.49,0.91,0,3.47,20.45,0,0,2.19,0,10.51
 24-34,0,0,4.93,0,10.61,0.67,0,5.96,0,1.43,3.03,3.95,0,0.66,8.62,0,0,0,0,2.26,0,13.77,0,0,4.52,431.2,4.91,0,1.12,0,0,5.48,0,1.7,4.2,52.15,0,0,33.04,0,77.66
 36-46,0,0,2.38,0,1.86,1.99,0,29.01,0,0,14.56,41.65,0,0,5.77,0,0,0,0,4.27,0,39.56,1.07,0,3.38,718.9,2.76,4.04,0,0,0,2.16,0,0,0,77.41,0,0,23.8,0,121.02
 48-58,0,0,0.54,0,22.84,0.67,0,54.5,0,0,78.27,109,0,0,8.46,0,0,6.99,0,1.79,4.58,76.7,0,1.22,6.86,758.38,0.4,0.41,1.87,0,0,5.3,0.47,0.4,0,89.18,0,0.61,19.67,0,268.88
 60-70,0,0,1.97,0,20.27,0,0,106.25,0,0.59,136.08,97.71,2.06,0,0,2.18,0,1.64,1.26,12.78,0,103.83,1.43,0,4.41,538.68,0.62,0,0.64,0,2.15,7.14,0,0,0,55.37,1.62,2.41,6.41,1.63,118.1
 72-82,0,0,6.15,0,24.9,5.2,0,96.37,0,0,254.77,109.95,17.71,0.59,1.73,3.46,0,5.83,0,19.41,0,154.19,0,5.01,25.11,750.46,0,4.47,7.41,0,0,5.09,0.53,0,0,21.22,0.53,4.63,17.52,1.76,126.12
 84-94,0,0,2.03,0,30.24,2.86,1.28,94.77,1.38,0.63,167.62,56.23,9.97,2.46,0,1.45,0,5.33,3.43,26.8,0.58,130,0,0,13.14,496.72,0,4.81,1.78,0,0,2.37,0,0,0,30.05,3.74,0,27.16,0.98,74.99
 96-106,0,0,7.22,0,23.82,11.14,2,109.34,3.44,0,200.29,83.45,32.66,0,8.31,4.43,0,11.12,3.32,57.13,0,149.84,5.61,2.17,12.76,404.19,0,6.54,9.18,0,0,5.33,0,0,0,27.36,4,1.64,8.69,3.61,110.06
108-118,0,0,4.57,0,17.64,1.45,0.55,106.09,0,9.07,140.51,68.38,19.02,0,1.32,3.71,3.77,0,0,71.84,1.1,141.23,0,0,12.78,604.37,0,0.48,3.33,0,0,4.16,1.88,0,0,39.06,0,5.52,11.58,2.48,41.72
120,0,0,19.75,0,13.74,3.18,0,132.52,0,0,236.62,55.34,41.68,0,2.09,2.53,0,1.91,0,56.73,0,171.21,0,0,4.13,795.61,0,2.89,10.2,0,0,6.98,0,0,0,48.87,1.84,10.65,8.27,0,16.22
