stage,axial,blastomeres,epidermis,eye,glial,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,somites,spinal.cord,vasculature
  5-6,10.04,6.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,0,0
 14-21,0,0,1.04,0,0,0,0,0.82,5.12,0,0,0,0,0,1.35,0,0
 24-34,0,0,0,0,0,7.3,0,0,1.01,0,0,0.68,0,0,0,0,0
 36-46,0,0,0,1.54,0,8.15,0,0,0.59,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.56,0,41.61,0,0,11.63,0,0,0,0,0,0,0,0
 60-70,0,0,0,6.11,0.7,25.85,0,0,17.22,0,0,0,0,0,0,1.82,0
 72-82,0,0,0,2.13,1.24,30.87,1.18,0,2.26,0,2.41,0,0,0,0,0,0
 84-94,0,0,0,8.81,0.56,58.9,0,0,4.14,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.75,0,43.76,0,0,0,0,0,0,3.23,2.89,0,0,0
108-118,0,0,0.47,0,0,57.92,0,0,3.91,0.85,0,0,0,0.52,0,0,0
120,0,0,0,3.03,0,99.82,0,0,2.82,0,0,0,0,0,0,0,2.85
