stage,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord
  7-9,0,0,0,0,0,0,0,7.75,12.16,0,0,0
 10-12,0,0,0,0,0,0,0,4.76,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0.92,0
 24-34,0,0,0,0,0,0,1.41,4.36,0,0,0,2.86
 36-46,0,2.41,5.64,0,0,0,5.41,1.59,0,0.64,0,0
 48-58,0,0.53,9.29,0.47,1.17,2.15,2.93,8.51,0,0,0,4.49
 60-70,0,7.95,1.38,0,0,0,0,8.11,0,0,0,0
 72-82,0,0,0,0,0.88,0,0,6.46,0,0,0,0
 84-94,1.12,0,0,0,1.31,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.41,1.37,0,0,0,0
120,0,0,0,0,0,10.08,0,2.56,0,0,0,0
