stage,blastomeres,epidermis,glial,gut,heart,immune,lateral.line,liver,mucous,muscle,neural,paraxial.mesoderm,periderm,pronephros
  5-6,19.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.56,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.37
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.68,1.29
 36-46,0,0,0,0,1.35,0,0,0,0,0,0,0,3.69,0
 48-58,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,10.94,0,0,0,0,0,0,1.32,0
 72-82,0,0,0,0,0,13.19,0,0.62,0,0,0,0,0,0
 84-94,0,0,0,1.01,0,9.44,3.19,0.57,2.88,0,0,0,0,0
 96-106,0,0,0,0,0,6.9,0,1.58,4.32,0.86,0,0,2.16,0
108-118,0,1.77,1.82,0,0,9.8,2.16,0,0,0,2.03,0,1.13,0
120,0,0,0,1.29,0,47.33,0,0,12.14,0,0,0,0,0
