stage,epidermis,eye,glial,neural,vasculature
 14-21,0,0,0,0.8,0
 24-34,0,0,0,0,4.83
 36-46,0,2.96,0,0,0
 48-58,0,49.35,0,2.89,0
 60-70,0,105.48,0.83,3.18,0
 72-82,0,65.11,3.36,2.33,0
 84-94,0,34.81,0.58,4.89,0
 96-106,1.91,11.7,0,0.83,0
108-118,0,37.44,0,0,0
120,0,36.29,0,0,0
