stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,14.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.24,0,0,0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0
 14-21,0,0,0,0.88,0,0.92,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,6.37,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.62,88.23,0,2.33,0,0,0,23.61,0,0,1.4,0
 36-46,0,0,0,0,0,10.36,1.39,0,0,0,0,0,0,0,0,3.96,0,252.94,0,0.81,0,0,0,33.03,0,0,0,0
 48-58,0,0,0,0,0,29.5,0,0,1.49,0,0,0,0,0,1.12,5.87,0,526.75,0,0,0,0,0,51.47,0,0,0,7.12
 60-70,0,0,0,0,0,105.01,0,1.48,9.28,0,0,0,0,0,0,4.93,0,726.8,0,0,0,0,1.35,95.98,0,0,0,1.18
 72-82,0,0,0,0.84,1.16,213.9,0,0,14.96,0,0,0,0,0,0,9.26,0.77,787.92,0,0,8.99,0,0,71.13,0,0,2.57,0
 84-94,0,0,5.49,0,0,179.65,0,0,8.05,0,0,0,0.61,0,4.77,11.88,0,498.69,0.65,0,0.55,2.44,0,32.99,0,1.8,0,0
 96-106,0,0,4.24,4.45,0,197.61,0,0,4.77,1.16,0,0,1.46,0.62,0,8.92,0,524.97,0,0,5.06,2.32,0,39.73,0,0,2.73,0
108-118,0,0,8.11,0,0,133.83,1.05,0,9.5,0,0.61,0,0.89,0,2.16,10.54,1.1,419.8,0,1.09,3.43,1.44,0,11.6,0.68,0,1.07,0
120,0,0,0,0,0,142.25,3.55,0,21.12,0,0,2.06,0,0,0,2.31,0,845.42,0,3.73,0,1.56,0,41.39,0,0,0,7.88
