stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,presomitic_mesoderm,spinal_cord,visceral_smooth_muscle
  5-6,7.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0
 14-21,0,3.38,0,0.86,0,1.19,0,1.41,0,0,0,0,0.83,0,0,0.84,14.36,0,0.87,0,0.95,1.94,0
 24-34,0,0,0,1.84,0,1.24,0,0,0,0,0,0,0,0.68,0,0,41.96,0,0,0,0,2.17,0
 36-46,0,0,0,0.89,0,0.91,0,0,0,0,0,0,3.91,0,0,0,102.76,0,0,0,0,16.48,0
 48-58,0,0.45,1.92,14.51,0,3.68,0,0.37,0,0,0,0,3.11,0,0,0,66.47,0,0,0,0,12.92,0
 60-70,0,0,0,9.06,0,0.97,0,0,0,0,0,0,0.89,0,0,1.61,59.99,0,0,0,0,3.96,0
 72-82,0,0,0,11.31,0,2.36,1.48,0,0,0,0,0,0,0,0,0,10.49,0,0,0,0,1.02,0.93
 84-94,0,0,0,6.19,0,8.29,0,0,0.7,0,0,0.69,2.12,0,0.69,0,16.12,0,0,0.85,0,2.95,0
 96-106,0,0,0,3.45,3.45,4.15,1.06,0,0,0.57,0.6,0,0,0,0,0,5.9,0.77,0,0,0,0,2.53
108-118,0,0.85,0,7.62,0,0,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,0,1.73,0
120,0,0,0,4.76,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
