stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.1,35.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.82,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0,3.88,0,0,0,0,0,0,0,0,0
 10-12,0,4.22,0,0,0,0,0,0,0,0,0,0,0,4.21,0,0,15.62,0,0,0,9.36,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08,3.47,0,0,1.61,1.26,2.08,0,0,0,0,0,0
 24-34,0,0,0.97,1.48,2.41,0,0,1.63,0,1.29,0,0,0,21.06,1.08,0.68,0,5.74,0,0,0,2.16,0,2.54,0,0
 36-46,0,0,0,0.62,8.09,0,0,2.03,0,0,0,0.65,0,61.11,2.03,0,0,0,0,0,0,11.9,0,0,0,0
 48-58,0,0,0,0,21.54,0.67,0,0,0,0,0,0.51,1.39,65.7,0,0,0,0,0,0,0,8.23,0,0,0,2.3
 60-70,0,0,0,0,38.24,0,0,0.74,0,0.56,0,0,0,32.81,0.92,0,0,0,0,0,0,7.12,0,0,0,8.49
 72-82,0,0,1.09,0,51.03,0,0,0,0,1.48,0,7.94,0,61.58,0,0,0,0,0,0,0,8.31,0.56,1.1,0,0
 84-94,0,0,0,0,13.13,0,0,0,0,0,0,2.34,0,62.59,3.67,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,3.15,18.11,0,0,0,1.03,6.67,0,0,0,44.9,0,0,0,0,0,0,0,6.67,0,0,4.62,0
108-118,0,0,0,1.01,8.49,0,0.78,0,0,8.58,1.92,0,0,22.39,1.42,0,0,0,0,0,0,0,7.17,0,0,0
120,0,0,0,0,0,1.13,0,0,0,8.9,0,4.59,0,12.43,0,0,0,0,0,0,0,0,5.55,4.33,0,0
