stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.2,53.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508.83,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,92.7,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.96,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.23,0,0,0,10.62,10.19,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.11,7.04,0,0,94.1,22.98,0,0,5.33,0,0,9.85,0,0,0,0,0
 14-21,0,0,11.39,3.82,112.12,12.76,17.24,0,2.33,0,520.42,0.99,0,0,0,0.9,0,2.97,0,0,11.41,0,0,9.94,306.75,16.82,84.87,336.25,41.6,49.4,4.6,19.74,382.61,0,9.55,1464.77,0,0,1.42,0,0
 24-34,0,0,0.6,2.54,46.69,0.91,37.51,0,5.75,6.78,646.55,2.01,0,0.82,0,2.6,0,24.89,0.94,3.78,5.18,1.03,0,12.42,412.22,10.87,392.02,46.26,0,83.84,0,0,282.91,1.04,27.52,1372.13,0,0,13.65,0,0
 36-46,0,0,0,0,13.08,0.76,10.52,0,0,1.31,316.97,0,0,0.65,0,1.86,0,12.32,0,0,3.9,1.58,0,0,610.74,1.49,404.84,21.39,0,92.32,0,0,224.88,0.84,0.7,668.33,0,0,0.75,0,0
 48-58,0,0,0,0,27.52,0,28.21,0,2.49,1.13,279.34,0.56,0.52,0,0,1.22,0,24.9,11.58,0,8.01,0,0,0.93,328.65,1.79,309.09,18.36,0,40.85,0,0,159.7,0,0,633.08,0,0,0,0,0
 60-70,0,0,0,0.68,9.24,0,0.82,0,1.4,3,214.75,4.11,0,0,0.82,1.53,1.16,18.81,0,0,1.33,0,0,0,208.36,0,260.61,16.92,0,70.42,0,0,131.29,1.29,0,311.29,8.27,0,0,0,0
 72-82,0,0,15.28,0,23.84,0,29.14,0.95,3.72,1,191.08,7.87,0.89,0,0.55,13.98,0.78,41.94,0,0,25.56,1.38,0,1.33,161.46,4.53,441.25,55.85,0,35.23,0,0,79.21,0,0,250.19,34.31,0,0,2.35,0
 84-94,0,0,4.88,6.99,23.3,0,24.86,0,0.62,0,164.22,6.39,0.88,0,2.03,7.08,0,56.41,0,0,18.34,1.64,0,0.79,196.69,0.76,522.46,71.47,0,79.74,0,0,127.09,2.51,0,248.85,101.78,0,0,0,0
 96-106,0,0,18.32,11.33,47.76,4.89,39.7,0,4.89,4.06,104.38,12.32,0,0,1.55,11.01,0,58.85,3.07,0,34.16,0,0,4.16,133.08,5.19,773.5,54.46,0,21.19,0,0,109.87,0.6,0,111.12,155.52,0,0,5.66,0
108-118,0,0,5.72,13.38,38.12,0,11.9,0,1.1,0,61.17,17.02,0,0,3.96,18.77,0,49.83,9.13,0,32.72,7.01,1.19,0,111.64,6.51,557.2,48.81,0,38.59,0,0,93.5,0,0,92.26,177.26,0,0,6.87,0.59
120,0,0,0,3.17,62.05,0,3.18,0,0,0,63.35,25.37,0,0,12.53,12.65,0,65.41,0,0,58.91,5.62,0,0,158.54,3.97,409.84,49.08,0,47.79,0,0,112.64,0,0,44.35,66.93,7.59,0,6.73,0
