stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,10.29,0,0
  7-9,0,0,4.01,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.43,8.57,0,0,0,0
 14-21,0,0,1.06,0.8,0,0,0,0,0,0,2.55,2.08,1.66,0.94,0,0,1.97
 24-34,0,0.66,0,0.74,0,0,0,0,0,0.86,0,9.06,0,0,0,1.6,0
 36-46,0,0,0,0,0,0.79,0,0,0,0,0,0.69,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.66,0,5.73,0,0,0,0,0
 60-70,0,0,0,0,0,2.85,0,6.7,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.8,0,0,1.69,2.04,0,0,10.02,0,0,0,0,0
 84-94,0,0,0,1.32,0,0,0,1.65,11.56,0,0,8.37,0,0,0,1.2,0
 96-106,0,0,0,0,0,2.34,0.84,0.64,1.31,1.78,0,5.65,0,0,0,0,0
108-118,0,0,0,1.1,0,2.87,2.76,3.83,2.62,1.44,0,5.58,0,0,0,0,0.87
120,0,0,0,0,0,0,0,31.72,3.02,0,0,3.65,0,0,0,0,0
