stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,11.92,408.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,317.15,6158.49,56.57,0,0,0,0,0,0,0,0,0,0,0,2732.52,7.94,0,861.09,0,26.34,0,0,0,0,0,0,0
  7-9,183.73,764.39,489,0,0,96.39,0,0,0,99.13,0,0,0,0,7131.56,543.27,0,31400.67,0,5.5,34.26,0,13.28,0,0,0,0
 10-12,0,143.85,287.92,0,0,14.29,0,0,0,0,0,0,0,0,552.75,59.22,0,9116.85,0,0,38.38,62.87,273.73,0,52.53,0,0
 14-21,0,2.25,0,0.96,14.61,1.09,0,0,0,0,0,1.02,0,42.92,39.36,4.27,0,3.92,0,0,0,1078.16,0,16.81,570.89,1.78,0
 24-34,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,12.62,0,0.99,0,0,0.95,0,0,0,0,7.79,0,0
 36-46,0,0,0,0,0,4.79,0,3.2,0,0,0,0,0,0,35.39,0,0,0,7.92,0,0,0,0,0,0,1.91,0
 48-58,0,0,0,0,0,99.51,0,1.73,0,0,0,0,0,0,41.82,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,179.9,0,1.33,0,0,0,0,0,0,29.33,0,0,0,0,0,0,0,0,0,0,4.22,0
 72-82,0,0,0,0,0,61.61,1.11,0.75,0,0,0,0,0,0,23.55,0,0,0,0,0,0,0,0,0,0,0.56,0
 84-94,0,0,0,0,0,23.69,0,0,0,0,1.05,0,3.33,0,25.64,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,27.08,0,1.61,0,0,0,0,4.14,0,6.23,0,0,0,0,0,0,0,0,0,0,0,2.63
108-118,0,0,0,0,0,34.31,0,0.93,0,0,0,0,0.85,0,29.25,0,1.06,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,21.4,0,0,1.21,0,0,0,6.85,0,29.07,0,0,0,0,0,0,0,0,0,0,0,0
